block_id	panel	upstream_file	sha256	line_start	line_end	mode	allowed_replacements	note
supp7a_drugs	SupplementaryFigure7A	Figure5/01A-Compare_Drugs_Overlapping_Across_CellLine_Datasets.R	04720c86104ffcd89b54b17a99f4795fe4b8f78286c9c341222a605e51f1f44d	37	83	dataset_patch	GRAY=>PRISM;GDSC1000=>GDSC2	Official drug-overlap Euler block including device closure
fig5_ci	Figure5A-C	Figure5/03-Plot_ConcordanceIndex_Volcano.R	9123de56edddf3138eeB07220c13c1320a4789991f417f8f2cb9acb873a5829a	40	105	verbatim		Official cell-line concordance-index screen
fig5_upset	Figure5D	Figure5/04A-Compare_Drugs_Across_CellLine_Datasets.R	0719898545aad99c5b0428888ff3a133f59306b90fd3a39acd349ce12c15f47d	67	127	dataset_patch	GRAY=>PRISM;GDSC1000=>GDSC2	Official reproduced drug–TF UpSet
fig5e_grid	Figure5E	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	4cc23514ae36c74c4f98a028def87ec8a9f21153adb836fcbcd1f7277bb05de8	64	80	verbatim		Official OS-by-RFS 3x3 grid; counts are supplied by LUAD adapter
fig5f_low	Figure5F	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	4cc23514ae36c74c4f98a028def87ec8a9f21153adb836fcbcd1f7277bb05de8	104	184	dataset_patch	GRAY=>PRISM;GDSC1000=>GDSC2	Official low-CI pathway/TF dot-matrix block
supp7c_low	SupplementaryFigure7C	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	4cc23514ae36c74c4f98a028def87ec8a9f21153adb836fcbcd1f7277bb05de8	186	264	dataset_patch	GRAY=>PRISM;GDSC1000=>GDSC2	Official low-CI supplementary dot-matrix block
fig5f_high	Figure5F	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	4cc23514ae36c74c4f98a028def87ec8a9f21153adb836fcbcd1f7277bb05de8	266	348	dataset_patch	GRAY=>PRISM;GDSC1000=>GDSC2	Official high-CI pathway/TF dot-matrix block
supp7c_high	SupplementaryFigure7C	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	4cc23514ae36c74c4f98a028def87ec8a9f21153adb836fcbcd1f7277bb05de8	350	424	dataset_patch	GRAY=>PRISM;GDSC1000=>GDSC2	Official high-CI supplementary dot-matrix block
aac_helper	SupplementaryFigure7B-D	Static_Scripts/AAC_Helper.R	78ea7573eb3c5e6ad7234d6a68ba0438065935c86ce94a489251172018c61b43	1	306	verbatim		Official AAC scatter helpers
supp7b_case1	SupplementaryFigure7B	Figure5/06-AAC_Key_Drug_TR_AcrossCohort.R	2db2ecb456d87a3b199da1877eed2c9e451831dc677dd52ee9d3e9aa764d8617	24	36	identifier_dataset_patch	ETV4_Trametinib=>WWC2_Pha793887;Trametinib=>Pha-793887;ETV4=>WWC2;GRAY=>PRISM	Official case-1 call/save block; frozen LUAD replicated pair and cohort IDs only
supp7b_case2	SupplementaryFigure7B	Figure5/06-AAC_Key_Drug_TR_AcrossCohort.R	2db2ecb456d87a3b199da1877eed2c9e451831dc677dd52ee9d3e9aa764d8617	38	49	identifier_dataset_patch	RELB_Afatinib=>ZNF254_5Fluorouracil;Afatinib=>5-Fluorouracil;RELB=>ZNF254;GRAY=>GDSC2;AAC_concordance_colours_High=>AAC_concordance_colours_Low	Official case-2 call/save block; frozen LUAD replicated pair, cohort IDs, and observed low-CI colour object only
supp7b_case3	SupplementaryFigure7B	Figure5/06-AAC_Key_Drug_TR_AcrossCohort.R	2db2ecb456d87a3b199da1877eed2c9e451831dc677dd52ee9d3e9aa764d8617	51	62	identifier_dataset_patch	DMRTA1_Paclitaxel=>ZNF254_Dactolisib;Paclitaxel=>Dactolisib;DMRTA1=>ZNF254;GDSC1000=>GDSC2;GRAY=>PRISM;AAC_concordance_colours_High=>AAC_concordance_colours_Low	Official case-3 call/save block; frozen LUAD replicated pair, cohort IDs, and observed low-CI colour object only
supp7b_case4	SupplementaryFigure7B	Figure5/06-AAC_Key_Drug_TR_AcrossCohort.R	2db2ecb456d87a3b199da1877eed2c9e451831dc677dd52ee9d3e9aa764d8617	64	75	identifier_dataset_patch	NCOA7_PD173074=>ZNF254_Vorinostat;PD 173074=>Vorinostat;NCOA7=>ZNF254;GDSC1000=>GDSC2;GRAY=>PRISM	Official case-4 call/save block; frozen LUAD replicated pair and cohort IDs only
fig5g_pdx	Figure5G	Figure5/07D-Plot_ConcordanceIndex_PDX.R	0d013829f205f96746331e7a6129558c86bbb6e58023c8c78ab568e33463d237	110	160	unsupported		Requires at least one cell-line-replicated drug with matched PDX response; LUAD has none
supp7d_pdx	SupplementaryFigure7D	Figure5/07C-Plot_AAC_PDX.R	fda94eba415bb803ff24373debb0d37626321bf9eeee5fbfc5202c51e5688207	62	73	unsupported		Requires a validated LUAD PDX drug–TF pair; none exists
fig5h_waterfall	Figure5H	Figure5/07D-Plot_ConcordanceIndex_PDX.R	0d013829f205f96746331e7a6129558c86bbb6e58023c8c78ab568e33463d237	166	283	unsupported		Requires a validated LUAD PDX drug–TF pair; frozen result has zero rows
