literature_id	route_id	query	nearest_paper	uri	checked_at	overlap_level	disease_overlap	object_overlap	outcome_overlap	data_overlap	analysis_overlap	claim_overlap	decision	distinction	notes
SPP-LIT-R03-01	SPP-R03	preoperative chemotherapy macrophage primary CRC liver metastasis single cell	A single-cell atlas of liver metastases of colorectal cancer reveals reprogramming of the tumor microenvironment in response to preoperative chemotherapy	https://doi.org/10.1038/s41467-021-25911-3	2026-08-07	high	same	partial	same	same	same	same	distinguish	A route must ask a locked SPP1-state site-by-treatment interaction not already answered by the data-generating paper and cannot simply rerun its treated-versus-untreated atlas.	GSE178318 is both the candidate data and its source publication.
SPP-LIT-R03-02	SPP-R03	CRLM neoadjuvant chemotherapy response macrophage metabolism spatial	Spatiotemporal Immune Landscape of Colorectal Cancer Liver Metastasis at Single-Cell Level	https://doi.org/10.1158/2159-8290.CD-21-0316	2026-08-07	high	same	partial	same	partial	same	same	distinguish	Only a prespecified anchor-specific state interaction with independent validation could remain distinct.	The paper already contrasts treatment-naive partial-response and nonresponse CRLM immune ecosystems.
SPP-LIT-R04-01	SPP-R04	direct SPP1 blockade anti-PD1 colorectal liver metastasis	SPP1high macrophage-induced T-cell stress promotes colon cancer liver metastasis through SPP1/CD44/PI3K/AKT signaling	https://doi.org/10.1136/jitc-2025-012330	2026-08-07	high	same	same	same	unknown	same	same	distinguish	A future wet-lab route would need macrophage-specific necessity rescue and formal factorial interaction beyond direct antibody combination.	Direct anti-SPP1 plus anti-PD1 efficacy has already been published.
SPP-LIT-R04-02	SPP-R04	SPP1 CAF CXCL12 PD1 colorectal liver metastasis blockade	SPP1 Drives Colorectal Cancer Liver Metastasis and Immunotherapy Resistance by Stimulating CXCL12 Production in Cancer-Associated Fibroblasts	https://doi.org/10.1158/0008-5472.CAN-24-4916	2026-08-07	high	same	same	same	unknown	same	same	distinguish	Lineage-specific source necessity and rescue would be required; another general SPP1 blockade study is not sufficient.	Therapeutic SPP1 and CXCR4 combinations with PD1 create substantial overlap; DOI was checked on the AACR article page.
SPP-LIT-R05-01	SPP-R05	analysis reproduction SPP1 versus SELENOP macrophage CRLM	Targeting SPP1+TAMs associated with liver metastasis reverses immunosuppression and synergizes with immunotherapy in colorectal cancer	https://doi.org/10.1136/jitc-2025-014128	2026-08-07	high	same	same	partial	partial	same	partial	continue	This is explicitly a training reproduction and is not presented as a distinct target-paper claim.	Success is measured by traceability and repaired statistics rather than matching every published panel.
SPP-LIT-R05-02	SPP-R05	GSE164522 SPP1 macrophage primary colorectal liver metastasis	Single-cell analyses reveal phenotypic linkage between colorectal cancer and liver metastasis	https://doi.org/10.1016/j.ccell.2022.02.013	2026-08-07	high	same	same	partial	same	partial	partial	continue	Use the source paper to recover tissue labels and published biological context while independently implementing the bounded reproduction contract.	Cancer Cell 2022 source paper for GSE164522; bibliographic identity was checked on 2026-08-07.
SPP-LIT-R06-01	SPP-R06	SPP1 TAM signature prognosis liver metastasis colorectal	Targeting SPP1+TAMs associated with liver metastasis reverses immunosuppression and synergizes with immunotherapy in colorectal cancer	https://doi.org/10.1136/jitc-2025-014128	2026-08-07	duplicate	same	same	same	same	same	same	stop	The exact anchor already reports prognosis and liver-metastasis classification from an SPP1+TAM score.	Changing feature selection or gene count would not create a new clinical question.
SPP-LIT-R06-02	SPP-R06	HLA-DRB5 macrophage prognostic signature CRLM	Integrated single-cell and spatial transcriptomics uncover SPP1+ and HLA-DRB5+ macrophages as key modulators of the immune microenvironment in colorectal cancer liver metastasis	https://pubmed.ncbi.nlm.nih.gov/41715121/	2026-08-07	high	same	partial	same	unknown	same	same	stop	A new macrophage-derived multigene prognostic model would enter an already saturated and highly overlapping space.	This 2026 paper reports a six-gene prognostic signature across CRC cohorts.
SPP-LIT-R07-01	SPP-R07	pan-cancer SPP1 macrophage polarity immune ecology	CXCL9:SPP1 macrophage polarity identifies a network of cellular programs that control human cancers	https://doi.org/10.1126/science.ade2292	2026-08-07	duplicate	partial	same	same	partial	same	same	stop	A generic pan-cancer SPP1 TAM atlas would repeat the established CXCL9:SPP1 polarity framework.	Only a different cross-cancer clinical decision or mechanism could justify a future route.
SPP-LIT-R08-01	SPP-R08	SELENOP SPP1 macrophage colorectal liver metastasis	Targeting SPP1+TAMs associated with liver metastasis reverses immunosuppression and synergizes with immunotherapy in colorectal cancer	https://doi.org/10.1136/jitc-2025-014128	2026-08-08	high	same	same	partial	partial	same	partial	distinguish	Refocus the central question on patient-level loss of a locked SELENOP program rather than repeat SPP1 abundance prognosis or therapy claims.	The anchor already uses SELENOP as the comparator, so a label flip alone is insufficient; the CRLM-specific donor and spatial question must survive as a distinct concrete claim.
SPP-LIT-R08-02	SPP-R08	SELENOP SPP1 macrophage spatial colorectal cancer	High-definition spatial transcriptomic profiling of immune cell populations in colorectal cancer	https://doi.org/10.1038/s41588-025-02193-3	2026-08-08	high	partial	same	partial	partial	same	partial	distinguish	Use the primary-CRC study as a data and method donor while asking a locked CRC-to-CRLM SELENOP-loss question with separate CRLM spatial evidence.	This study already maps SELENOP+ and SPP1+ macrophages in primary CRC; primary-only spatial description cannot be claimed as new.
SPP-LIT-R08-03	SPP-R08	C1QC protective macrophage colorectal liver metastasis	RUNX1/SLAMF3 Axis Drives Immunosuppression to Contribute to Colorectal Cancer Liver Metastasis by Blocking Phagocytosis and Depleting C1QC+ Tumor-Associated Macrophages	https://doi.org/10.1002/advs.202506641	2026-08-08	high	same	partial	partial	unknown	partial	partial	distinguish	Do not generalize the SELENOP candidate into a generic protective-resident-macrophage story; test the exact locked SELENOP program and report overlap with C1QC.	The paper is a close functional neighbor and may eliminate the route if SELENOP adds no distinct patient-level state beyond C1QC.
SPP-LIT-R09-01	SPP-R09	SPP1 TAM exhausted CD8 gastric metastatic cancer	Potential crosstalk between SPP1+ TAMs and CD8+ exhausted T cells promotes an immunosuppressive environment in gastric metastatic cancer	https://doi.org/10.1186/s12967-023-04688-1	2026-08-08	high	same	same	same	partial	same	same	stop	The direct cancer-label swap preserves the same SPP1+TAM to exhausted-CD8 metastatic immune-ecology claim and lacks a separate central question.	Public gastric liver-metastasis data availability does not remove this concrete publication overlap.
SPP-LIT-R09-02	SPP-R09	CSF1 tumour cell SPP1 macrophage gastric cancer immunotherapy resistance	The CSF1+ tumor cell-SPP1+ macrophage axis drives gastric cancer progression and immunotherapy resistance	https://doi.org/10.3389/fimmu.2026.1817573	2026-08-08	high	partial	same	same	unknown	same	same	stop	A gastric route would need a different object relation or outcome; repeating SPP1-macrophage immunotherapy resistance is not sufficient.	This stops the current formulation only and does not ban gastric cancer or cancer-type substitution.
SPP-LIT-R10-01	SPP-R10	TREM2 lipid-laden macrophage colorectal cancer liver metastasis	Multi-omic profiling identifies TREM2+ lipid-laden macrophages as inflammatory drivers and therapeutic targets of colorectal cancer liver metastasis	https://doi.org/10.1016/j.canlet.2026.218657	2026-08-08	duplicate	same	same	same	unknown	same	same	stop	The proposed disease cell state central relation and therapeutic outcome are already the publication's explicit title-level formulation.	A different cell-type replacement remains allowed after route-specific literature and data review.
SPP-LIT-R11-01	SPP-R11	SPP1 TREM2 APOE GPNMB macrophage state relation colorectal liver metastasis	Targeting SPP1+TAMs associated with liver metastasis reverses immunosuppression and synergizes with immunotherapy in colorectal cancer	https://doi.org/10.1136/jitc-2025-014128	2026-08-08	high	same	partial	partial	partial	partial	partial	distinguish	Retain the anchor SPP1 ecology but test a prespecified relation between remodeling and lipid-handling programs rather than restating SPP1 abundance.	The anchor supplies the SPP1 state and evidence order; it does not answer the SPP1 versus TREM2-program relation.
SPP-LIT-R11-02	SPP-R11	TREM2 lipid-laden macrophage CRLM multiomic neutrophil ALOX5	Multi-omic profiling identifies TREM2+ lipid-laden macrophages as inflammatory drivers and therapeutic targets of colorectal cancer liver metastasis	https://doi.org/10.1016/j.canlet.2026.218657	2026-08-08	high	same	partial	partial	unknown	partial	partial	distinguish	Use its multi-omic spatial upstream-material downstream-cell and intervention architecture as a donor while not repeating TREM2 as the CRLM therapeutic target.	Public accession and code were not identified in the publisher or PubMed records; the first route ceiling is transcriptional comparison.
SPP-LIT-R12-01	SPP-R12	gastric cancer liver metastasis myeloid macrophage NK dysfunction single cell	Single-cell profiling reveals altered immune landscape and impaired NK cell function in gastric cancer liver metastasis	https://doi.org/10.1038/s41388-024-03114-0	2026-08-08	high	same	partial	same	same	partial	partial	distinguish	The source already establishes impaired NK function; the candidate must ask a prespecified patient-level myeloid-NK relation and seek independent support.	GSE246662 has three paired primary-liver cases and three healthy livers; total cell count cannot substitute for donor replication.
SPP-LIT-R12-02	SPP-R12	SPP1 TAM exhausted CD8 gastric metastatic cancer	Potential crosstalk between SPP1+ TAMs and CD8+ exhausted T cells promotes an immunosuppressive environment in gastric metastatic cancer	https://doi.org/10.1186/s12967-023-04688-1	2026-08-08	high	same	partial	partial	partial	partial	partial	distinguish	Borrow the myeloid-effector-cell analysis sequence and public multi-site data but replace the CD8 endpoint and do not reuse the published GDF15 LR claim.	This paper remains a donor even though its literal SPP1-CD8 formulation constrains R09.
SPP-LIT-R13-01	SPP-R13	metastatic gastric cancer liver peritoneal immune repertoire macrophage	Atlas of metastatic gastric cancer links ferroptosis to disease progression and immunotherapy response	https://doi.org/10.1053/j.gastro.2024.07.038	2026-08-08	high	same	partial	same	same	partial	partial	distinguish	Use the treatment-naive paired multi-organ and immune-repertoire design for a focused myeloid-lymphocyte relation rather than repeat ferroptosis or generic organ differences.	GSE239676 provides processed expression and metadata but states raw data are withheld for privacy.
SPP-LIT-R14-01	SPP-R14	gastric cancer liver peritoneal ovarian paired bulk route-specific signature	Deciphering metastatic route-specific signals and their microenvironment interactions in peritoneal metastasis of gastric cancer	https://doi.org/10.1002/cac2.12533	2026-08-08	high	same	partial	same	same	partial	partial	distinguish	Use GSE237876 only as patient-paired bulk testing for an independently locked myeloid program; do not relabel the published msEMT-CAF result.	The accession contains 66 bulk samples from 14 patients with repeated regions and metastases; it is not a single-cell cohort.
SPP-LIT-R15-01	SPP-R15	pancreatic ductal adenocarcinoma primary liver metastasis macrophage single cell	Single-cell transcriptome analysis reveals subtype-specific clonal evolution and microenvironmental changes in liver metastasis of pancreatic adenocarcinoma and their clinical implications	https://pubmed.ncbi.nlm.nih.gov/38702773/	2026-08-08	high	same	partial	partial	same	partial	partial	distinguish	Test an anchor-like macrophage contrast rather than repeat the source paper's malignant subtype clonal-evolution and Treg conclusions.	GSE263733 is a public data entry but patient and lane mapping and exact macrophage overlap remain unverified.
