requirement_id	route_id	role	disease	tissue	modality	biological_unit	comparison_or_outcome	required_fields	minimum_subjects	access_limit	independence_required	required	notes
SPP-DREQ-R04-01	SPP-R04	experimental validation	colorectal cancer liver metastasis	mouse liver metastasis	in vivo perturbation	mouse	SPP1-specific perturbation crossed with anti-PD1	animal_id;randomization;blinding;group;dose;timepoint;metastatic_burden;cd8_endpoint;spp1_tam_endpoint	4	collaboration-approved raw data and protocol	false	true	The placeholder minimum is not a power calculation; final n must come from the prespecified primary endpoint.
SPP-DREQ-R05-01	SPP-R05	reproduction	colorectal cancer liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	published SPP1 versus SELENOP direction under an explicit repaired specification	donor_id;sample_id;cell_id;tissue;counts;pct_mito;n_umi	10	public processed counts and metadata	false	true	Training route; one traceable cohort is preferred over the undocumented 998204-cell integration.
SPP-DREQ-R08-01	SPP-R08	discovery	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	locked SELENOP versus SPP1 macrophage program across tissue	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;pct_mito;n_umi;cell_type	10	public processed counts and metadata	false	true	Prefer one traceable cohort with donor-resolved tissues; cells are measurements not subjects.
SPP-DREQ-R08-02	SPP-R08	external validation	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	direction of the locked SELENOP program in an independent cohort	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;cell_type	6	public processed counts and metadata	true	true	Genes directions and thresholds must be frozen before viewing the validation effect.
SPP-DREQ-R08-03	SPP-R08	spatial validation	colorectal cancer liver metastasis	CRLM	spatial transcriptomics	patient or donor	patient-level localization of locked SELENOP and SPP1 programs	donor_id;slide_id;coordinates;counts;histology;region;capture_id;treatment	4	public processed spatial object and image	true	true	SPP1 cell source and spot mixture must be controlled; spatial spots cannot be treated as independent patients.
SPP-DREQ-R11-01	SPP-R11	discovery	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	patient or donor	donor-level separation and overlap of locked SPP1 remodeling and TREM2 lipid-handling programs	donor_id;sample_id;cell_id;tissue;treatment;study_id;counts;pct_mito;n_umi;cell_type	10	public processed counts and metadata	false	true	Transcription can test state relation only; it cannot establish lipid droplets leukotriene production or therapeutic action.
SPP-DREQ-R11-02	SPP-R11	spatial validation	colorectal cancer liver metastasis	CRLM	spatial transcriptomics	patient or donor	patient-level localization of both programs with CD8 and neutrophil contexts	donor_id;slide_id;coordinates;counts;histology;region;capture_id;treatment	4	public processed spatial object and image	true	true	Spatial association requires deconvolution source controls and patient-level inference.
SPP-DREQ-R12-01	SPP-R12	discovery	gastric cancer liver metastasis	paired primary gastric cancer;gastric liver metastasis;healthy liver	scRNA-seq	patient or donor	paired change in prespecified myeloid programs and NK or NKT functional states	donor_id;sample_id;cell_id;tissue;pair_id;counts;cell_type;nk_state;treatment	3	public processed counts and metadata	false	true	GSE246662 has three paired cancer cases; healthy livers are separate donors and must not be called matched controls.
SPP-DREQ-R12-02	SPP-R12	external validation	metastatic gastric cancer	primary;gastric liver metastasis;other metastases	scRNA-seq	patient or donor	independent direction of the locked myeloid-NK relationship	donor_id;sample_id;cell_id;tissue;counts;cell_type;nk_state;treatment	6	public processed counts and metadata	true	true	Program members and relationship direction must be frozen before validation inspection.
SPP-DREQ-R13-01	SPP-R13	discovery	metastatic gastric adenocarcinoma	primary gastric cancer;liver metastasis;peritoneal metastasis;ovarian metastasis;blood	scRNA-seq plus immune repertoire	patient or donor	organ-specific relation between locked myeloid states and lymphocyte clonality or function	donor_id;sample_id;cell_id;tissue;pair_id;treatment;counts;cell_type;clonotype_id;chain;productive	10	public processed expression metadata and immune-repertoire files	false	true	Raw FASTQ may be unavailable; processed patient and clonotype mapping must still be downloadable and unique.
SPP-DREQ-R14-01	SPP-R14	feature definition	metastatic gastric cancer	primary and metastatic gastric cancer	scRNA-seq	patient or donor	define and lock a myeloid program without access to GSE237876 route outcomes	donor_id;sample_id;cell_id;tissue;counts;cell_type;study_id	6	public processed counts and metadata	false	true	Feature definition must be independent of the bulk validation cohort and its metastatic-route labels.
SPP-DREQ-R14-02	SPP-R14	external validation	metastatic gastric cancer	paired primary;liver;peritoneal;ovarian metastases	bulk transcriptomics	patient	patient-paired continuous locked-program differences across metastatic routes	patient_id;sample_id;tissue;metastatic_route;region_id;replicate_id;expression;platform	10	public processed expression and metadata	true	true	Repeated regions and metastases are nested in patient; no route-specific feature selection or cutoff is allowed.
SPP-DREQ-R15-01	SPP-R15	discovery	pancreatic ductal adenocarcinoma liver metastasis	primary PDAC;liver metastasis;normal pancreas or liver	scRNA-seq	patient or donor	donor-level SPP1 remodeling versus resident-like macrophage contrast and immune context	donor_id;sample_id;library_id;cell_id;tissue;pair_id;treatment;counts;cell_type	4	public processed counts and metadata	false	true	GEO lane-level rows must be collapsed to biological libraries and patients before sample size is counted.
