issue_id	route_id	observed_layer	candidate_scope	issue_type	stage	severity	observation	evidence	consequence	proposed_action	disposition	status	blocking	affected_capability_ids	promotion_id	notes
SPP-PF-011		anchor	pilot	contract	anchor_audit	critical	SPP1细胞来源和SPP1+TAM signature没有锁定	SPP1也可由肿瘤和CAF表达且正文无基因表尺度或来源排除	bulk空间和治疗靶点可能并非巨噬细胞特异	锁定macrophage-specific多基因程序；比较肿瘤CAF来源；删除SPP1单基因做敏感性	instance_only	open	true	CAP-BULK-FIXED-SIGNATURE		任何目标路线均需先解决来源
SPP-PF-012		anchor	pilot	statistical	anchor_audit	critical	GSE41568内AUC 0.847缺少训练验证标签患者重复协变量和校准	Fig6C与Methods	分类性能可能由泄漏和样本构成造成且不能称无创	患者去重并预先划分开发验证；锁定特征阈值；报告CI校准协变量和外部队列	instance_only	open	false	CAP-BULK-FIXED-SIGNATURE		当前优先路线把bulk模型设为可选次级模块；若启用则重新成为阻断项
SPP-PF-013		anchor	pilot	statistical	anchor_audit	high	生存cutoff 1.23来源不清且存在多亚组和多相关性检验	Fig6及Methods	后验二分和多重选择可能夸大关联	连续Cox为主；cutoff仅开发集选择后锁定；预设协变量PH检验缺失和FDR	instance_only	open	false	CAP-BULK-FIXED-SIGNATURE		亚组应检验interaction而非比较组内P值
SPP-PF-014		anchor	pilot	scientific_result	anchor_audit	high	CellChat表达共现和空间邻近被写成SPP1+TAM驱动CD8耗竭	Fig8	观察性通信被升级为因果机制	逐患者推断并要求配体受体空间和下游程序一致；机制需共培养阻断和rescue	instance_only	open	false			没有扰动只能使用consistent with
SPP-PF-015		anchor	pilot	data_access	anchor_audit	critical	108/92和32例人mIF没有原图患者表ROI批次盲法或源表	Data availability为reasonable request且无公共资源	Fig1G 5B/F 7D 8E不能验证	有本地样本则预注册测量合同并公开源表；否则用公共空间转录组替代并降低claim	instance_only	accepted_risk	false			私有数据不阻断计算路线但阻断exact reproduction
SPP-PF-016	SPP-R04	anchor	pilot	scientific_result	anchor_audit	critical	regorafenib为多激酶药物而非SPP1+TAM特异扰动	论文Discussion也承认TAM和抗血管贡献无法分离	Fig9至10不能证明SPP1通路必要性或药物特异靶向	增加macrophage-specific Spp1 KO抗SPP1或受体阻断及rescue并比较肿瘤CAF来源	instance_only	open	true			无湿实验路线必须删除targeting因果语言
SPP-PF-017	SPP-R04	anchor	pilot	statistical	anchor_audit	critical	肝转移模型缺少anti-PD1单药却使用协同语言	可还原组别为PBS regorafenib regorafenib加anti-PD1每组4只	无法估计regorafenib与PD1交互	采用vehicle A B A+B完整2×2析因设计并预定义交互尺度	instance_only	open	true			组合优于对照不等于协同
SPP-PF-018	SPP-R04	anchor	pilot	contract	anchor_audit	high	每组4只且缺少充分功效盲法逐只数据和完整流式门控	动物和流式Methods及无源表	药效和免疫变化稳定性不可审计	按主结局做功效随机化盲法和预设排除；逐只动物源表和FCS门控；独立重复	instance_only	open	false			需湿实验合作方才能修复
SPP-PF-019		anchor	pilot	data_access	anchor_audit	critical	公开材料不能覆盖机构mIF小鼠流式小鼠scRNA和全部源表	补充材料只有S1 S2说明及无实质数据页	不能承诺整篇exact reproduction	逐Figure标记exact analysis substitute或blocked；公开计算结果不能冒充原私有证据	instance_only	accepted_risk	false			作者后续提供数据时版本化更新
SPP-PF-020		anchor	pilot	usability	anchor_audit	medium	使用旧符号SEPP1且SPP1的强文献先验和竞争状态筛选不透明	现行符号为SELENOP且SPP1+TAM在锚点前已有多篇研究	容易把假设驱动优先级写成无偏首次发现	统一SELENOP historical alias SEPP1并冻结候选优先级矩阵报告竞争状态与不选择理由	instance_only	open	false			选择判断需要人审不能伪装成纯算法
