check_id	status	observed	expected	evidence
figure1::znf737_regulon_targets	PASS	35	35	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure1_model_heatmap_missing_tf_audit.tsv
figure1::znf737_depmap_overlap	PASS	0	0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure1_model_heatmap_missing_tf_audit.tsv
validation::GSE41271_samples	PASS	('183', '80')	('183', '80')	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/external_validation_slot_manifest.tsv
validation::GSE81089_samples	PASS	('108', '67')	('108', '67')	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/external_validation_slot_manifest.tsv
validation::GSE41271_reproduced_LUAD_TFs	PASS	70	70	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/data/Figure1/Tables_ForPlotting/TNBC_TCGA_METABRIC_comparision.tsv
validation::GSE81089_reproduced_LUAD_TFs	PASS	95	95	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/secondary_validation/GSE81089/data/Figure1/Tables_ForPlotting/TNBC_TCGA_METABRIC_comparision.tsv
figure2c_pairing::n_input_luad_aliquots	PASS	516	516	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::n_unique_patient_barcodes	PASS	516	516	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::n_duplicate_patient_barcodes	PASS	0	0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::n_promoter_atac_patients	PASS	22	22	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::n_promoter_patients_matched_in_activity	PASS	21	21	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::n_promoter_patients_missing_rna	PASS	1	1	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::missing_rna_patient_ids	PASS	TCGA-44-A47F	TCGA-44-A47F	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::paired_21_promoter_activity_exact_set_equal	PASS	TRUE	TRUE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2c_pairing::official_selector_exact_set_equal	PASS	TRUE	TRUE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/figure2_tcga_rna_sample_id_mapping_summary.tsv
figure2::hc_tf_count	PASS	31	31	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/data/Figure2/High_RNA_NES.tsv
motif::formal_testable_hc_tf_count	PASS	20	20	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/motif_analysis_version_boundary.tsv
motif::formal_triple_count	PASS	3	3	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/motif_analysis_version_boundary.tsv
motif::formal_triple_tfs	PASS	FOXA3;NFATC4;XBP1	FOXA3;NFATC4;XBP1	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/motif_analysis_version_boundary.tsv
motif::formal_database_priority_violations	PASS	0	0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/motif_analysis_version_boundary.tsv
motif::candidate_sensitivity_triple_count	PASS	0	0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/motif_analysis_version_boundary.tsv
motif::candidate_not_formal	PASS	SENSITIVITY_AUDIT_ONLY_NOT_FORMAL_FIGURE	SENSITIVITY_AUDIT_ONLY_NOT_FORMAL_FIGURE	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/adapter_final_corrected/audit/motif_analysis_version_boundary.tsv
supplementary2f::bugfix_class	PASS	ANCHOR_BUGFIX	ANCHOR_BUGFIX	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary2f_anchor_bugfix_manifest.tsv
supplementary2f::changed_line_count	PASS	1	1	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary2f_anchor_bugfix_manifest.tsv
supplementary4c::change_class	PASS	ANCHOR_EMPTY_SET_BUGFIX	ANCHOR_EMPTY_SET_BUGFIX	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::changed_line_count	PASS	3	3	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::jaspar_only_count	PASS	0	0	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::cisbp_only_count	PASS	8	8	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::both_count	PASS	12	12	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::dummy_tf_added	PASS	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::eulerr_constructor_changed	PASS	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
supplementary4c::palette_changed	PASS	False	False	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/supplementary4c_empty_set_bugfix_manifest.tsv
runtime::substitution_count	PASS	68	68	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/runtime_substitution_manifest.tsv
runtime::forbidden_substitution_classes	PASS	[]	[]	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/runtime_final_corrected/audit/runtime_substitution_manifest.tsv
pdf::strict_primary_count	PASS	14	14	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/audit/pdf_sha256_manifest.tsv
pdf::final_primary_count	PASS	21	21	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/audit/pdf_sha256_manifest.tsv
pdf::secondary_count	PASS	14	14	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/audit/pdf_sha256_manifest.tsv
pdf::all_magic_ok	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/audit/pdf_sha256_manifest.tsv
pdf::all_first_pages_render	PASS	True	True	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/official-code-port-v3/run-fig12-final/audit/pdf_sha256_manifest.tsv
