check	observed	expected	pass
target.patient.TCGA-MP-A4TF.width	[200]	[200]	TRUE
target.patient.TCGA-NJ-A4YG.count	3584	3584	TRUE
target.patient.TCGA-NJ-A4YG.width	[200]	[200]	TRUE
target.PDX.MGH10022.count	3584	3584	TRUE
target.PDX.MGH10022.width	[200]	[200]	TRUE
target.PDX.MGH1062.count	3584	3584	TRUE
target.PDX.MGH1062.width	[200]	[200]	TRUE
target.PDX.MGH1065.count	0	0	TRUE
target.PDX.MGH1065.width	[]	[]	TRUE
target.PDX.MGH1068.count	3584	3584	TRUE
target.PDX.MGH1068.width	[200]	[200]	TRUE
target.PDX.MGH1089.count	3584	3584	TRUE
target.PDX.MGH1089.width	[200]	[200]	TRUE
target.PDX.MGH1109.count	3584	3584	TRUE
target.PDX.MGH1109.width	[200]	[200]	TRUE
target.PDX.MGH1112.count	3584	3584	TRUE
target.PDX.MGH1112.width	[200]	[200]	TRUE
target.PDX.MGH1139.count	3584	3584	TRUE
target.PDX.MGH1139.width	[200]	[200]	TRUE
target.PDX.MGH1157.count	0	0	TRUE
target.PDX.MGH1157.width	[]	[]	TRUE
target.PDX.MGH1174.count	3584	3584	TRUE
target.PDX.MGH1174.width	[200]	[200]	TRUE
target.PDX.MGH1181.count	3584	3584	TRUE
target.PDX.MGH1181.width	[200]	[200]	TRUE
target.PDX.MGH9183.count	3584	3584	TRUE
target.PDX.MGH9183.width	[200]	[200]	TRUE
target.PDX.MGH9243.count	0	0	TRUE
target.PDX.MGH9243.width	[]	[]	TRUE
target.cell_line.A427.count	3584	3584	TRUE
target.cell_line.A427.width	[200]	[200]	TRUE
target.cell_line.A549.count	3584	3584	TRUE
target.cell_line.A549.width	[200]	[200]	TRUE
target.cell_line.ABC-1.count	3584	3584	TRUE
target.cell_line.ABC-1.width	[200]	[200]	TRUE
target.cell_line.H1648.count	3584	3584	TRUE
target.cell_line.H1648.width	[200]	[200]	TRUE
target.cell_line.H1650.count	3584	3584	TRUE
target.cell_line.H1650.width	[200]	[200]	TRUE
target.cell_line.H1819.count	3584	3584	TRUE
target.cell_line.H1819.width	[200]	[200]	TRUE
target.cell_line.H1975.count	3584	3584	TRUE
target.cell_line.H1975.width	[200]	[200]	TRUE
target.cell_line.H2228.count	3584	3584	TRUE
target.cell_line.H2228.width	[200]	[200]	TRUE
target.cell_line.H2347.count	3584	3584	TRUE
target.cell_line.H2347.width	[200]	[200]	TRUE
target.cell_line.H322.count	3584	3584	TRUE
target.cell_line.H322.width	[200]	[200]	TRUE
target.cell_line.II-18.count	3584	3584	TRUE
target.cell_line.II-18.width	[200]	[200]	TRUE
target.cell_line.LC2_ad.count	3584	3584	TRUE
target.cell_line.LC2_ad.width	[200]	[200]	TRUE
target.cell_line.PC-14.count	3584	3584	TRUE
target.cell_line.PC-14.width	[200]	[200]	TRUE
target.cell_line.PC-9.count	3584	3584	TRUE
target.cell_line.PC-9.width	[200]	[200]	TRUE
target.cell_line.RERF-LC-Ad1.count	3584	3584	TRUE
target.cell_line.RERF-LC-Ad1.width	[200]	[200]	TRUE
target.cell_line.RERF-LC-Ad2.count	3584	3584	TRUE
target.cell_line.RERF-LC-Ad2.width	[200]	[200]	TRUE
target.cell_line.RERF-LC-KJ.count	3584	3584	TRUE
target.cell_line.RERF-LC-KJ.width	[200]	[200]	TRUE
target.cell_line.RERF-LC-MS.count	3584	3584	TRUE
target.cell_line.RERF-LC-MS.width	[200]	[200]	TRUE
target.cell_line.VMRC-LCD.count	3584	3584	TRUE
target.cell_line.VMRC-LCD.width	[200]	[200]	TRUE
background.count	28672	28672	TRUE
background.width	[200]	[200]	TRUE
candidate_database.motif_count	47	47	TRUE
candidate_database.jaspar_motif_count	21	21	TRUE
candidate_database.cisbp_motif_count	26	26	TRUE
full_database.motif_count	1944	1944	TRUE
anchor_candidate.motif_count	47	47	TRUE
anchor_candidate.completed_samples	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	TRUE
anchor_candidate.matchable_samples	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	TRUE
anchor_candidate.best_table_rows	1458	1458	TRUE
anchor_candidate.system_summary_rows	81	81	TRUE
anchor_candidate.hc_triple_rows	20	20	TRUE
anchor_candidate.lineage_control_rows	24	24	TRUE
anchor_candidate.triple_fixed_receipt_matches_table	0	0	TRUE
anchor_candidate.triple_matchable_receipt_matches_table	0	0	TRUE
anchor_candidate.database_selection_rule	JASPAR2024_if_available_else_CIS-BP2.00	JASPAR2024_if_available_else_CIS-BP2.00	TRUE
anchor_candidate.homer_result_root_count	2	2	TRUE
anchor_candidate.preferred_source_token_violations	0	0	TRUE
combined_candidate.motif_count	47	47	TRUE
combined_candidate.completed_samples	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	TRUE
combined_candidate.matchable_samples	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	TRUE
combined_candidate.best_table_rows	1458	1458	TRUE
combined_candidate.system_summary_rows	81	81	TRUE
combined_candidate.hc_triple_rows	20	20	TRUE
combined_candidate.lineage_control_rows	24	24	TRUE
combined_candidate.triple_fixed_receipt_matches_table	1	1	TRUE
combined_candidate.triple_matchable_receipt_matches_table	1	1	TRUE
full.motif_count	1944	1944	TRUE
full.completed_samples	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 13, ""cell_line"": 19, ""patient"": 22}"	TRUE
full.matchable_samples	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	"{""PDX"": 10, ""cell_line"": 19, ""patient"": 22}"	TRUE
full.best_table_rows	1458	1458	TRUE
full.system_summary_rows	81	81	TRUE
full.hc_triple_rows	20	20	TRUE
full.lineage_control_rows	24	24	TRUE
full.triple_fixed_receipt_matches_table	1	1	TRUE
full.triple_matchable_receipt_matches_table	1	1	TRUE
compiled.tnbc_recovered	True	True	TRUE
