TF	discovery_category	replicated_GSE81089	replicated_GSE41271	replicated_both
KCTD1	LUSC	TRUE	TRUE	TRUE
KLF5	LUSC	TRUE	TRUE	TRUE
LEF1	LUSC	TRUE	TRUE	TRUE
LHX2	LUSC	TRUE	TRUE	TRUE
LIN9	LUSC	TRUE	TRUE	TRUE
LMO1	LUSC	FALSE	TRUE	FALSE
LMO4	LUSC	TRUE	TRUE	TRUE
MAF	LUSC	FALSE	TRUE	FALSE
MAGEA4	LUSC	TRUE	TRUE	TRUE
MAGEF1	LUSC	TRUE	TRUE	TRUE
MLF2	LUSC	TRUE	TRUE	TRUE
MLLT11	LUSC	TRUE	TRUE	TRUE
MXD1	LUSC	TRUE	TRUE	TRUE
MYC	LUSC	TRUE	TRUE	TRUE
MYNN	LUSC	TRUE	TRUE	TRUE
NAB1	LUSC	TRUE	TRUE	TRUE
NFE2L1	LUSC	TRUE	TRUE	TRUE
NFE2L2	LUSC	TRUE	TRUE	TRUE
NKX2-5	LUSC	TRUE	TRUE	TRUE
NPAS1	LUSC	FALSE	TRUE	FALSE
OTX1	LUSC	TRUE	TRUE	TRUE
PITX1	LUSC	TRUE	TRUE	TRUE
PLAGL2	LUSC	TRUE	TRUE	TRUE
PTMS	LUSC	TRUE	TRUE	TRUE
RARB	LUSC	TRUE	TRUE	TRUE
RUVBL1	LUSC	TRUE	TRUE	TRUE
RUVBL2	LUSC	FALSE	TRUE	FALSE
SCML2	LUSC	TRUE	TRUE	TRUE
SHOX2	LUSC	TRUE	TRUE	TRUE
SMARCB1	LUSC	TRUE	TRUE	TRUE
SNAI2	LUSC	TRUE	TRUE	TRUE
SOX15	LUSC	TRUE	TRUE	TRUE
SOX2	LUSC	TRUE	TRUE	TRUE
TBX1	LUSC	FALSE	TRUE	FALSE
TCF15	LUSC	TRUE	TRUE	TRUE
TCF7L1	LUSC	FALSE	TRUE	FALSE
TEAD4	LUSC	TRUE	TRUE	TRUE
TFAP2A	LUSC	TRUE	TRUE	TRUE
TFAP2C	LUSC	TRUE	TRUE	TRUE
TFDP2	LUSC	TRUE	TRUE	TRUE
TRIM28	LUSC	TRUE	TRUE	TRUE
TRO	LUSC	TRUE	TRUE	TRUE
VAX2	LUSC	TRUE	TRUE	TRUE
WDR75	LUSC	TRUE	TRUE	TRUE
YEATS2	LUSC	TRUE	TRUE	TRUE
ZFP64	LUSC	TRUE	TRUE	TRUE
ZNF343	LUSC	TRUE	TRUE	TRUE
ZNF436	LUSC	TRUE	TRUE	TRUE
ZNF703	LUSC	TRUE	TRUE	TRUE
ZNF77	LUSC	TRUE	TRUE	TRUE
