specificity	TF	TCGA	GSE81089	GSE41271	combination
LUAD	TFEB	FALSE	FALSE	TRUE	GSE41271
LUAD	TNIP1	FALSE	FALSE	TRUE	GSE41271
LUAD	TOX	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	TOX3	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	TP53INP1	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	TRIM27	FALSE	TRUE	FALSE	GSE81089
LUAD	VDR	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	VENTX	TRUE	FALSE	FALSE	TCGA
LUAD	VEZF1	FALSE	TRUE	FALSE	GSE81089
LUAD	VGLL3	FALSE	FALSE	TRUE	GSE41271
LUAD	VSX1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	WBP2	FALSE	TRUE	FALSE	GSE81089
LUAD	WTIP	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	WWC1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	WWC2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	WWC3	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	WWP2	FALSE	TRUE	FALSE	GSE81089
LUAD	XBP1	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	ZBED3	FALSE	TRUE	FALSE	GSE81089
LUAD	ZBTB10	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZBTB16	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	ZBTB18	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZBTB20	FALSE	FALSE	TRUE	GSE41271
LUAD	ZBTB4	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZBTB41	FALSE	TRUE	FALSE	GSE81089
LUAD	ZBTB42	TRUE	FALSE	FALSE	TCGA
LUAD	ZBTB46	TRUE	FALSE	FALSE	TCGA
LUAD	ZFHX2	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZFHX3	FALSE	TRUE	FALSE	GSE81089
LUAD	ZFP2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZFP3	FALSE	FALSE	TRUE	GSE41271
LUAD	ZFP57	TRUE	FALSE	FALSE	TCGA
LUAD	ZFP90	FALSE	FALSE	TRUE	GSE41271
LUAD	ZHX3	FALSE	FALSE	TRUE	GSE41271
LUAD	ZMYND11	FALSE	TRUE	FALSE	GSE81089
LUAD	ZMYND15	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	ZNF10	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF100	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF117	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF141	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF154	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF165	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF182	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF19	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF197	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF211	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF214	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF239	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF253	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF254	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF268	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF274	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF28	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF281	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF302	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF320	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF331	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF33A	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF33B	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF34	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF341	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	ZNF350	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF382	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF396	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF41	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF415	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF418	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF429	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF433	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF438	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF439	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF44	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF441	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF444	TRUE	FALSE	FALSE	TCGA
LUAD	ZNF449	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF467	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF471	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF483	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF484	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF486	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF491	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF493	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF540	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF541	TRUE	FALSE	TRUE	TCGA+GSE41271
LUAD	ZNF552	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF573	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF583	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF585A	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF597	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF608	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF610	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF613	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF615	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF620	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF626	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF627	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF630	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF66	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF662	TRUE	FALSE	FALSE	TCGA
LUAD	ZNF671	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUAD	ZNF672	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF678	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF681	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF682	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF69	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF701	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZNF708	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF710	TRUE	FALSE	FALSE	TCGA
LUAD	ZNF717	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF718	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF721	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF726	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF737	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF75D	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF763	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF778	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF780A	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF790	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF792	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF799	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF826P	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF83	FALSE	FALSE	TRUE	GSE41271
LUAD	ZNF835	TRUE	FALSE	FALSE	TCGA
LUAD	ZNF844	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF852	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF860	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZNF876P	FALSE	TRUE	FALSE	GSE81089
LUAD	ZNF91	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUAD	ZSCAN16	TRUE	TRUE	FALSE	TCGA+GSE81089
LUAD	ZSCAN2	FALSE	TRUE	FALSE	GSE81089
LUAD	ZSCAN30	FALSE	TRUE	FALSE	GSE81089
LUAD	ZSCAN31	FALSE	TRUE	FALSE	GSE81089
LUAD	ZSCAN4	FALSE	FALSE	TRUE	GSE41271
LUSC	ACTL6A	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	AEBP2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	AFAP1L2	FALSE	TRUE	FALSE	GSE81089
LUSC	AHRR	FALSE	TRUE	FALSE	GSE81089
LUSC	AJUBA	TRUE	FALSE	FALSE	TCGA
LUSC	AKIRIN2	FALSE	TRUE	FALSE	GSE81089
LUSC	ALX1	FALSE	TRUE	FALSE	GSE81089
LUSC	ANKRD2	TRUE	TRUE	FALSE	TCGA+GSE81089
LUSC	ARID3B	TRUE	FALSE	FALSE	TCGA
LUSC	ARID3C	TRUE	FALSE	FALSE	TCGA
LUSC	ARNTL2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	ASCC2	FALSE	TRUE	FALSE	GSE81089
LUSC	ASCL2	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	ATAD2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	ATF4	FALSE	TRUE	FALSE	GSE81089
LUSC	ATF5	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	BACH2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	BARX1	FALSE	TRUE	FALSE	GSE81089
LUSC	BBX	FALSE	TRUE	FALSE	GSE81089
LUSC	BCL11A	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	BCL11B	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	BCL6	FALSE	FALSE	TRUE	GSE41271
LUSC	BNC1	TRUE	TRUE	FALSE	TCGA+GSE81089
LUSC	BRCA1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	BRCA2	FALSE	TRUE	FALSE	GSE81089
LUSC	BRD4	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	BRD7	FALSE	FALSE	TRUE	GSE41271
LUSC	BRMS1	FALSE	FALSE	TRUE	GSE41271
LUSC	CBFA2T2	FALSE	TRUE	FALSE	GSE81089
LUSC	CBX1	FALSE	TRUE	FALSE	GSE81089
LUSC	CBX2	TRUE	FALSE	TRUE	TCGA+GSE41271
LUSC	CC2D1A	FALSE	FALSE	TRUE	GSE41271
LUSC	CCNK	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	CCNL1	FALSE	TRUE	FALSE	GSE81089
LUSC	CCNQ	TRUE	FALSE	FALSE	TCGA
LUSC	CDK5RAP2	FALSE	TRUE	FALSE	GSE81089
LUSC	CEBPG	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	CHD6	FALSE	TRUE	FALSE	GSE81089
LUSC	CIART	TRUE	FALSE	FALSE	TCGA
LUSC	CTCFL	FALSE	TRUE	FALSE	GSE81089
LUSC	DACH2	TRUE	FALSE	FALSE	TCGA
LUSC	DAXX	FALSE	FALSE	TRUE	GSE41271
LUSC	DBX2	TRUE	FALSE	TRUE	TCGA+GSE41271
LUSC	DDIT3	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	DHX33	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	DHX9	FALSE	TRUE	FALSE	GSE81089
LUSC	DLX1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DLX2	TRUE	TRUE	FALSE	TCGA+GSE81089
LUSC	DLX5	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DLX6	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DMRT1	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	DMRT2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DMRT3	FALSE	TRUE	TRUE	GSE81089+GSE41271
LUSC	DMRTA2	FALSE	FALSE	TRUE	GSE41271
LUSC	DNAJB1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DNMT3B	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DOT1L	FALSE	FALSE	TRUE	GSE41271
LUSC	DPF1	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	DR1	FALSE	TRUE	FALSE	GSE81089
LUSC	DRAP1	FALSE	FALSE	TRUE	GSE41271
LUSC	E2F2	TRUE	TRUE	TRUE	TCGA+GSE81089+GSE41271
LUSC	E2F3	FALSE	FALSE	TRUE	GSE41271
