TF	discovery_category	replicated_GSE81089	replicated_GSE41271	replicated_both
NR2F6	LUAD	FALSE	FALSE	FALSE
NR3C2	LUAD	TRUE	TRUE	TRUE
OLIG1	LUAD	FALSE	FALSE	FALSE
ONECUT1	LUAD	TRUE	FALSE	FALSE
PHC2	LUAD	TRUE	TRUE	TRUE
POU1F1	LUAD	FALSE	FALSE	FALSE
PPARGC1A	LUAD	FALSE	TRUE	FALSE
PRDM16	LUAD	TRUE	TRUE	TRUE
PRDM8	LUAD	TRUE	FALSE	FALSE
RARA	LUAD	TRUE	TRUE	TRUE
RORB	LUAD	FALSE	TRUE	FALSE
RORC	LUAD	TRUE	TRUE	TRUE
SAMD11	LUAD	FALSE	FALSE	FALSE
SMAD6	LUAD	FALSE	TRUE	FALSE
SMAD7	LUAD	FALSE	FALSE	FALSE
SP110	LUAD	FALSE	TRUE	FALSE
SP5	LUAD	TRUE	FALSE	FALSE
SPDEF	LUAD	TRUE	TRUE	TRUE
TBX15	LUAD	TRUE	TRUE	TRUE
TBX4	LUAD	FALSE	TRUE	FALSE
TBXT	LUAD	TRUE	FALSE	FALSE
TCF21	LUAD	TRUE	TRUE	TRUE
TFCP2L1	LUAD	TRUE	TRUE	TRUE
TOX3	LUAD	TRUE	FALSE	FALSE
TP53INP1	LUAD	FALSE	TRUE	FALSE
VDR	LUAD	FALSE	TRUE	FALSE
VENTX	LUAD	FALSE	FALSE	FALSE
VSX1	LUAD	TRUE	FALSE	FALSE
WTIP	LUAD	FALSE	TRUE	FALSE
WWC1	LUAD	TRUE	TRUE	TRUE
WWC2	LUAD	TRUE	TRUE	TRUE
XBP1	LUAD	FALSE	TRUE	FALSE
ZBTB10	LUAD	TRUE	FALSE	FALSE
ZBTB16	LUAD	FALSE	TRUE	FALSE
ZBTB18	LUAD	TRUE	FALSE	FALSE
ZBTB42	LUAD	FALSE	FALSE	FALSE
ZBTB46	LUAD	FALSE	FALSE	FALSE
ZFHX2	LUAD	TRUE	FALSE	FALSE
ZFP2	LUAD	TRUE	TRUE	TRUE
ZFP57	LUAD	FALSE	FALSE	FALSE
ZMYND15	LUAD	FALSE	TRUE	FALSE
ZNF117	LUAD	TRUE	FALSE	FALSE
ZNF141	LUAD	TRUE	FALSE	FALSE
ZNF19	LUAD	TRUE	FALSE	FALSE
ZNF214	LUAD	TRUE	FALSE	FALSE
ZNF239	LUAD	TRUE	FALSE	FALSE
ZNF254	LUAD	TRUE	TRUE	TRUE
ZNF281	LUAD	TRUE	TRUE	TRUE
ZNF33A	LUAD	TRUE	TRUE	TRUE
ZNF33B	LUAD	TRUE	FALSE	FALSE
ZNF341	LUAD	FALSE	TRUE	FALSE
ZNF382	LUAD	TRUE	FALSE	FALSE
ZNF396	LUAD	TRUE	FALSE	FALSE
ZNF429	LUAD	TRUE	TRUE	TRUE
ZNF441	LUAD	TRUE	FALSE	FALSE
ZNF444	LUAD	FALSE	FALSE	FALSE
ZNF467	LUAD	TRUE	TRUE	TRUE
ZNF483	LUAD	TRUE	FALSE	FALSE
ZNF486	LUAD	TRUE	FALSE	FALSE
ZNF493	LUAD	TRUE	TRUE	TRUE
ZNF540	LUAD	TRUE	TRUE	TRUE
ZNF541	LUAD	FALSE	TRUE	FALSE
ZNF597	LUAD	TRUE	TRUE	TRUE
ZNF608	LUAD	TRUE	TRUE	TRUE
ZNF620	LUAD	TRUE	FALSE	FALSE
ZNF662	LUAD	FALSE	FALSE	FALSE
ZNF671	LUAD	TRUE	TRUE	TRUE
ZNF678	LUAD	TRUE	FALSE	FALSE
ZNF681	LUAD	TRUE	FALSE	FALSE
ZNF69	LUAD	TRUE	FALSE	FALSE
ZNF710	LUAD	FALSE	FALSE	FALSE
ZNF717	LUAD	TRUE	FALSE	FALSE
ZNF737	LUAD	TRUE	FALSE	FALSE
ZNF75D	LUAD	TRUE	FALSE	FALSE
ZNF763	LUAD	TRUE	FALSE	FALSE
ZNF792	LUAD	TRUE	FALSE	FALSE
ZNF835	LUAD	FALSE	FALSE	FALSE
ZNF852	LUAD	TRUE	FALSE	FALSE
ZNF860	LUAD	TRUE	FALSE	FALSE
ZSCAN16	LUAD	TRUE	FALSE	FALSE
ACTL6A	LUSC	TRUE	TRUE	TRUE
AEBP2	LUSC	TRUE	TRUE	TRUE
AJUBA	LUSC	FALSE	FALSE	FALSE
ANKRD2	LUSC	TRUE	FALSE	FALSE
ARID3B	LUSC	FALSE	FALSE	FALSE
ARID3C	LUSC	FALSE	FALSE	FALSE
ARNTL2	LUSC	TRUE	TRUE	TRUE
ATAD2	LUSC	TRUE	TRUE	TRUE
BACH2	LUSC	TRUE	TRUE	TRUE
BCL11A	LUSC	TRUE	TRUE	TRUE
BCL11B	LUSC	TRUE	TRUE	TRUE
BNC1	LUSC	TRUE	FALSE	FALSE
BRD4	LUSC	TRUE	TRUE	TRUE
CBX2	LUSC	FALSE	TRUE	FALSE
CCNQ	LUSC	FALSE	FALSE	FALSE
CEBPG	LUSC	TRUE	TRUE	TRUE
CIART	LUSC	FALSE	FALSE	FALSE
DACH2	LUSC	FALSE	FALSE	FALSE
DBX2	LUSC	FALSE	TRUE	FALSE
DLX1	LUSC	TRUE	TRUE	TRUE
DLX2	LUSC	TRUE	FALSE	FALSE
DLX5	LUSC	TRUE	TRUE	TRUE
DLX6	LUSC	TRUE	TRUE	TRUE
DMRT2	LUSC	TRUE	TRUE	TRUE
DNAJB1	LUSC	TRUE	TRUE	TRUE
DNMT3B	LUSC	TRUE	TRUE	TRUE
DPF1	LUSC	TRUE	TRUE	TRUE
E2F2	LUSC	TRUE	TRUE	TRUE
E2F7	LUSC	TRUE	TRUE	TRUE
ELF4	LUSC	TRUE	TRUE	TRUE
EN1	LUSC	TRUE	TRUE	TRUE
ERF	LUSC	TRUE	TRUE	TRUE
ETV2	LUSC	FALSE	FALSE	FALSE
FOSL1	LUSC	TRUE	TRUE	TRUE
FOSL2	LUSC	TRUE	FALSE	FALSE
FOXD1	LUSC	TRUE	TRUE	TRUE
FOXE1	LUSC	TRUE	TRUE	TRUE
FOXL2	LUSC	TRUE	TRUE	TRUE
FOXM1	LUSC	TRUE	TRUE	TRUE
FOXN1	LUSC	TRUE	FALSE	FALSE
GBX2	LUSC	TRUE	FALSE	FALSE
GLI2	LUSC	TRUE	TRUE	TRUE
GLI3	LUSC	FALSE	TRUE	FALSE
GRHL2	LUSC	FALSE	TRUE	FALSE
GRHL3	LUSC	TRUE	TRUE	TRUE
GSC2	LUSC	FALSE	FALSE	FALSE
HDAC1	LUSC	TRUE	TRUE	TRUE
HDAC2	LUSC	TRUE	TRUE	TRUE
HDGFL3	LUSC	TRUE	FALSE	FALSE
HES2	LUSC	TRUE	TRUE	TRUE
HIF1A	LUSC	TRUE	FALSE	FALSE
HMGA1	LUSC	TRUE	TRUE	TRUE
HMX2	LUSC	TRUE	FALSE	FALSE
HOXA1	LUSC	TRUE	FALSE	FALSE
HOXA7	LUSC	TRUE	FALSE	FALSE
HOXC13	LUSC	TRUE	TRUE	TRUE
HOXD10	LUSC	TRUE	TRUE	TRUE
HOXD11	LUSC	TRUE	TRUE	TRUE
HOXD13	LUSC	TRUE	TRUE	TRUE
HR	LUSC	TRUE	TRUE	TRUE
IRF6	LUSC	TRUE	TRUE	TRUE
ISL2	LUSC	TRUE	FALSE	FALSE
JUP	LUSC	TRUE	TRUE	TRUE
KCTD1	LUSC	TRUE	TRUE	TRUE
KDM3A	LUSC	TRUE	FALSE	FALSE
KLF4	LUSC	TRUE	FALSE	FALSE
KLF5	LUSC	TRUE	TRUE	TRUE
KMT5A	LUSC	TRUE	FALSE	FALSE
LEF1	LUSC	TRUE	TRUE	TRUE
LHX2	LUSC	TRUE	TRUE	TRUE
LHX5	LUSC	TRUE	FALSE	FALSE
LHX8	LUSC	FALSE	FALSE	FALSE
LIN9	LUSC	TRUE	TRUE	TRUE
LMO1	LUSC	FALSE	TRUE	FALSE
LMO4	LUSC	TRUE	TRUE	TRUE
MAF	LUSC	FALSE	TRUE	FALSE
MAGEA11	LUSC	TRUE	FALSE	FALSE
MAGEA4	LUSC	TRUE	TRUE	TRUE
MAGEA5	LUSC	FALSE	FALSE	FALSE
MAGEA8	LUSC	FALSE	FALSE	FALSE
MAGEA9B	LUSC	FALSE	FALSE	FALSE
MAGEB6	LUSC	TRUE	FALSE	FALSE
MAGEF1	LUSC	TRUE	TRUE	TRUE
MAMSTR	LUSC	TRUE	FALSE	FALSE
MED10	LUSC	TRUE	FALSE	FALSE
MED12L	LUSC	TRUE	FALSE	FALSE
MEIS1	LUSC	FALSE	FALSE	FALSE
MLF1	LUSC	TRUE	FALSE	FALSE
MLF2	LUSC	TRUE	TRUE	TRUE
MLIP	LUSC	TRUE	FALSE	FALSE
MLLT11	LUSC	TRUE	TRUE	TRUE
MRGBP	LUSC	TRUE	FALSE	FALSE
MSGN1	LUSC	TRUE	FALSE	FALSE
MTA2	LUSC	TRUE	FALSE	FALSE
MXD1	LUSC	TRUE	TRUE	TRUE
MYBL2	LUSC	TRUE	FALSE	FALSE
MYC	LUSC	TRUE	TRUE	TRUE
MYNN	LUSC	TRUE	TRUE	TRUE
MYOD1	LUSC	TRUE	FALSE	FALSE
NAB1	LUSC	TRUE	TRUE	TRUE
NEUROD2	LUSC	TRUE	FALSE	FALSE
NEUROG1	LUSC	FALSE	FALSE	FALSE
NFE2L1	LUSC	TRUE	TRUE	TRUE
NFE2L2	LUSC	TRUE	TRUE	TRUE
NFIL3	LUSC	TRUE	FALSE	FALSE
NKX2-5	LUSC	TRUE	TRUE	TRUE
NKX3-1	LUSC	TRUE	FALSE	FALSE
NKX6-1	LUSC	FALSE	FALSE	FALSE
NPAS1	LUSC	FALSE	TRUE	FALSE
NR1D1	LUSC	FALSE	FALSE	FALSE
NR5A1	LUSC	FALSE	FALSE	FALSE
ONECUT3	LUSC	TRUE	FALSE	FALSE
OTX1	LUSC	TRUE	TRUE	TRUE
OTX2	LUSC	TRUE	FALSE	FALSE
OVOL3	LUSC	TRUE	FALSE	FALSE
PAX2	LUSC	FALSE	FALSE	FALSE
PAX3	LUSC	TRUE	FALSE	FALSE
PAX6	LUSC	TRUE	FALSE	FALSE
PITX1	LUSC	TRUE	TRUE	TRUE
PITX3	LUSC	FALSE	FALSE	FALSE
PLAGL2	LUSC	TRUE	TRUE	TRUE
POU3F1	LUSC	TRUE	FALSE	FALSE
POU5F1B	LUSC	FALSE	FALSE	FALSE
POU6F2	LUSC	TRUE	FALSE	FALSE
PPARGC1B	LUSC	TRUE	FALSE	FALSE
PRRX2	LUSC	FALSE	FALSE	FALSE
PTMS	LUSC	TRUE	TRUE	TRUE
RARB	LUSC	TRUE	TRUE	TRUE
RARG	LUSC	TRUE	FALSE	FALSE
RIPPLY2	LUSC	TRUE	FALSE	FALSE
RORA	LUSC	FALSE	FALSE	FALSE
RPS6KA5	LUSC	TRUE	FALSE	FALSE
RUNX3	LUSC	FALSE	FALSE	FALSE
RUVBL1	LUSC	TRUE	TRUE	TRUE
RUVBL2	LUSC	FALSE	TRUE	FALSE
SCML2	LUSC	TRUE	TRUE	TRUE
SHOX2	LUSC	TRUE	TRUE	TRUE
SMAD3	LUSC	TRUE	FALSE	FALSE
SMARCB1	LUSC	TRUE	TRUE	TRUE
SNAI2	LUSC	TRUE	TRUE	TRUE
SOHLH1	LUSC	TRUE	FALSE	FALSE
SOX13	LUSC	FALSE	FALSE	FALSE
SOX15	LUSC	TRUE	TRUE	TRUE
SOX2	LUSC	TRUE	TRUE	TRUE
SPINDOC	LUSC	TRUE	FALSE	FALSE
SREBF2	LUSC	FALSE	FALSE	FALSE
SRY	LUSC	FALSE	FALSE	FALSE
STOX2	LUSC	TRUE	FALSE	FALSE
TBL1X	LUSC	FALSE	FALSE	FALSE
TBL1XR1	LUSC	TRUE	FALSE	FALSE
TBX1	LUSC	FALSE	TRUE	FALSE
TBX3	LUSC	TRUE	FALSE	FALSE
TCF15	LUSC	TRUE	TRUE	TRUE
TCF20	LUSC	TRUE	FALSE	FALSE
TCF24	LUSC	TRUE	FALSE	FALSE
TCF4	LUSC	TRUE	FALSE	FALSE
TCF7L1	LUSC	FALSE	TRUE	FALSE
TEAD4	LUSC	TRUE	TRUE	TRUE
TESMIN	LUSC	TRUE	FALSE	FALSE
TET3	LUSC	TRUE	FALSE	FALSE
TFAP2A	LUSC	TRUE	TRUE	TRUE
TFAP2B	LUSC	TRUE	FALSE	FALSE
TFAP2C	LUSC	TRUE	TRUE	TRUE
TFDP2	LUSC	TRUE	TRUE	TRUE
TLX2	LUSC	FALSE	FALSE	FALSE
TP63	LUSC	TRUE	FALSE	FALSE
TP73	LUSC	TRUE	FALSE	FALSE
TRIM28	LUSC	TRUE	TRUE	TRUE
TRIM45	LUSC	FALSE	FALSE	FALSE
TRO	LUSC	TRUE	TRUE	TRUE
TRPS1	LUSC	TRUE	FALSE	FALSE
TSHZ2	LUSC	TRUE	FALSE	FALSE
VAX1	LUSC	TRUE	FALSE	FALSE
VAX2	LUSC	TRUE	TRUE	TRUE
WDR75	LUSC	TRUE	TRUE	TRUE
WIZ	LUSC	FALSE	FALSE	FALSE
YEATS2	LUSC	TRUE	TRUE	TRUE
ZBTB7C	LUSC	TRUE	FALSE	FALSE
ZFP64	LUSC	TRUE	TRUE	TRUE
ZIC5	LUSC	TRUE	FALSE	FALSE
ZNF280A	LUSC	TRUE	FALSE	FALSE
ZNF280C	LUSC	TRUE	FALSE	FALSE
ZNF343	LUSC	TRUE	TRUE	TRUE
ZNF367	LUSC	TRUE	FALSE	FALSE
ZNF436	LUSC	TRUE	TRUE	TRUE
ZNF488	LUSC	FALSE	FALSE	FALSE
ZNF530	LUSC	TRUE	FALSE	FALSE
ZNF556	LUSC	TRUE	FALSE	FALSE
ZNF639	LUSC	TRUE	FALSE	FALSE
ZNF703	LUSC	TRUE	TRUE	TRUE
ZNF77	LUSC	TRUE	TRUE	TRUE
ZNF770	LUSC	TRUE	FALSE	FALSE
ZSCAN5A	LUSC	FALSE	FALSE	FALSE
