data_group	file_name	description	source_path	output_path	bytes	md5
2	SupplementaryFigure2F_replicated_LUAD_TF_effect_zscores.tsv	Replicated LUAD TF effects	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure1-v2/results/tables/SupplementaryFigure2F_replicated_LUAD_TF_effect_zscores.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_02/SupplementaryFigure2F_replicated_LUAD_TF_effect_zscores.tsv	7473	5703c6b5ab6c085f2757373dc86146be
3	tf_promoter_gate_summary.tsv	Promoter and activity gate for all discovery TFs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/promoter_gate/tf_promoter_gate_summary.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_03/tf_promoter_gate_summary.tsv	85129	de6c9f9f3756b672d72449835d3feff9
3	system_tf_promoter_activity_summary.tsv	System-level promoter and activity evidence	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/promoter_gate/system_tf_promoter_activity_summary.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_03/system_tf_promoter_activity_summary.tsv	257826	f59af53a132e80aaed6c47fc4b3083f7
3	Figure3_HC_TF_signed_regulon_edges.tsv.gz	Signed 31-HC-TF regulon edges	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure3/results/tables/Figure3_HC_TF_signed_regulon_edges.tsv.gz	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_03/Figure3_HC_TF_signed_regulon_edges.tsv.gz	38560	060152704051abe51c4fd6aec72545db
3	Figure3B_target_gene_network_nodes.tsv	Shared-target community nodes	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/tables/Figure3B_target_gene_network_nodes.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_03/Figure3B_target_gene_network_nodes.tsv	985	6074839a77a94bd04348ef97935becb1
3	Figure3B_target_gene_network_edges.tsv	Shared-target community edges	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/tables/Figure3B_target_gene_network_edges.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_03/Figure3B_target_gene_network_edges.tsv	108	fca765a4e18c7d4def2b03c6b25668f6
3	Figure3B_target_gene_community_GO.tsv	Shared-target community GO enrichment	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/tables/Figure3B_target_gene_community_GO.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_03/Figure3B_target_gene_community_GO.tsv	1857	09412c140dec5e145b7beb95bc2127c3
4	figure2_atomic_sample_manifest.tsv	Figure 2 atomic sample manifest	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/manifests/figure2_atomic/figure2_atomic_sample_manifest.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_04/figure2_atomic_sample_manifest.tsv	18911	6987fb309aa05962e6df67ac059ad33d
4	figure2_raw_atac_qc.tsv	Raw ATAC QC receipt	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/raw_atac_qc/figure2_raw_atac_qc.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_04/figure2_raw_atac_qc.tsv	18879	1196a1ceef8760ed153b28a1e59bc20c
4	saturation_1000_permutations.tsv	Peak saturation permutations	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/supplementary_figure3/saturation_1000_permutations.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_04/saturation_1000_permutations.tsv	1107509	646af0f85fffe296e9dbd6ae1da780e4
4	saturation_summary.tsv	Peak saturation summary	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/supplementary_figure3/saturation_summary.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_04/saturation_summary.tsv	3293	7cc9d9c61d3e00dd6a5f954c14bf36b0
4	sample_accessibility_pearson_correlations.tsv	Pairwise accessibility correlations	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/supplementary_figure3/sample_accessibility_pearson_correlations.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_04/sample_accessibility_pearson_correlations.tsv	46775	74bdfdc30c6fcaa0abad633a56ea6ffc
4	peak_genomic_annotation.tsv	Peak genomic annotations	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/supplementary_figure3/peak_genomic_annotation.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_04/peak_genomic_annotation.tsv	22212	a8f1926434dbe58bcd4059015c3a53e9
5	sample_tf_promoter_accessibility.tsv	Sample-level promoter accessibility	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/promoter_gate/sample_tf_promoter_accessibility.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_05/sample_tf_promoter_accessibility.tsv	2841479	53cf783b8641a0b12f0363bd32c9032a
5	anchor_consensus_sample_tf_best_motif.tsv	Sample-level primary motif results	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/motif_primary/anchor_consensus_author/anchor_consensus_sample_tf_best_motif.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_05/anchor_consensus_sample_tf_best_motif.tsv	168888	e7dee6b4099ec1915bc99aa8d000d4f5
5	anchor_consensus_system_tf_motif_summary.tsv	System-level primary motif summary	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/motif_primary/anchor_consensus_author/anchor_consensus_system_tf_motif_summary.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_05/anchor_consensus_system_tf_motif_summary.tsv	8406	3e7b9dcb9beffd1d96ee01ecdb97d939
5	anchor_consensus_hc_tf_triple_system_summary.tsv	HC-TF three-system motif summary	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/motif_primary/anchor_consensus_author/anchor_consensus_hc_tf_triple_system_summary.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_05/anchor_consensus_hc_tf_triple_system_summary.tsv	1258	92443405ddfbf84283fcac7f389529cd
5	motif_threshold_sensitivity_triple_system_tfs.tsv	Motif threshold sensitivity	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/results/motif_threshold_sensitivity/motif_threshold_sensitivity_triple_system_tfs.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_05/motif_threshold_sensitivity_triple_system_tfs.tsv	600	1afc8b48299fb1778b5d6ae7c0dc92b3
6	Figure4_all_Cox_models.tsv	All uni- and multivariable Cox models	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure4/results/tables/Figure4_all_Cox_models.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_06/Figure4_all_Cox_models.tsv	61101	3014124edcecbdc6f19fb52bfb66bd4b
6	Figure4FH_KM_receipts.tsv	Kaplan-Meier receipts	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure4/results/tables/Figure4FH_KM_receipts.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_06/Figure4FH_KM_receipts.tsv	943	46171a560675920f548421c00e225478
6	Figure4EG_endpoint_overlap.tsv	Endpoint-overlap table	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure4/results/tables/Figure4EG_endpoint_overlap.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_06/Figure4EG_endpoint_overlap.tsv	180	f4324f6f3174f9bed295666535b3b6e8
6	SupplementaryFigure7_permutation_summary.tsv	Permutation enrichment summary	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure4/results/tables/SupplementaryFigure7_permutation_summary.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_06/SupplementaryFigure7_permutation_summary.tsv	772	b1e990f187a910cbf3bcf6aa40c691e6
6	SupplementaryFigure7_permutation_null_counts.tsv.gz	Five-thousand-permutation counts	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure4/results/tables/SupplementaryFigure7_permutation_null_counts.tsv.gz	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_06/SupplementaryFigure7_permutation_null_counts.tsv.gz	126837	fa4ee405b1eef030dc4aefa93086f387
7	Figure5_dataset_audit.tsv	Pharmacogenomic dataset audit	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/Figure5_dataset_audit.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_07/Figure5_dataset_audit.tsv	243	042ebbb72f0827d977b5f4fa6f4dde81
7	Figure5_drug_identity_map.tsv	Drug identity mapping	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/Figure5_drug_identity_map.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_07/Figure5_drug_identity_map.tsv	253568	f7ecffbb79774946c9d90314de6f2300
7	Figure5ABC_cellline_concordance_all.tsv.gz	All cell-line concordance tests	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/Figure5ABC_cellline_concordance_all.tsv.gz	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_07/Figure5ABC_cellline_concordance_all.tsv.gz	2732186	d40c3ab32ee31d1c451c69fa7d2baa25
7	Figure5D_replicated_drug_TF_pairs.tsv	Replicated drug-TF pairs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/Figure5D_replicated_drug_TF_pairs.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_07/Figure5D_replicated_drug_TF_pairs.tsv	41049	a79aa448040f4e3cd65fcac7a19d8052
7	Figure5_replicated_pair_dataset_details.tsv	Dataset-level details for replicated pairs	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/tables/Figure5_replicated_pair_dataset_details.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_07/Figure5_replicated_pair_dataset_details.tsv	4031	e8d96b0f152b494421685440787bb8e9
7	SupplementaryFigure7C_all_significant_associations.tsv.gz	Complete significant association matrix	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/tables/SupplementaryFigure7C_all_significant_associations.tsv.gz	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_07/SupplementaryFigure7C_all_significant_associations.tsv.gz	36086	6b3e39d3893a82c27514d2b595028b10
8	Figure5_PDXE_v2_lung_state_scores.tsv	PDX LUAD-state classifier scores	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/Figure5_PDXE_v2_lung_state_scores.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_08/Figure5_PDXE_v2_lung_state_scores.tsv	4695	2f1ef214afddbd51f6fede0d11301360
8	SupplementaryFigure9A_PDXE_drug_coverage.tsv	PDX drug coverage	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure9A_PDXE_drug_coverage.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_08/SupplementaryFigure9A_PDXE_drug_coverage.tsv	242	4bf645d263d9613bbf50605278aef32d
8	SupplementaryFigure9B_PDXE_all_concordance_tests.tsv	All PDX concordance tests	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure9B_PDXE_all_concordance_tests.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_08/SupplementaryFigure9B_PDXE_all_concordance_tests.tsv	73315	a237ac3c368357e9033cbf5a7cb05c01
8	Figure5GH_PDX_validated_pairs.tsv	Validated PDX pairs; zero rows is the scientific result	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/Figure5GH_PDX_validated_pairs.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_08/Figure5GH_PDX_validated_pairs.tsv	169	9cbf7942ba20ccf1a859cb3b77348207
8	Figure5G_PDX_validation_funnel.tsv	PDX validation funnel	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/tables/Figure5G_PDX_validation_funnel.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_08/Figure5G_PDX_validation_funnel.tsv	118	270af03bb563aa7660c5de0782b29218
9	SupplementaryFigure8A_cell_mapping.tsv	Cell-line identifier mapping	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure8A_cell_mapping.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_09/SupplementaryFigure8A_cell_mapping.tsv	57784	489a799e198a8dc1e6b79a802a9fb777
9	SupplementaryFigure8B_drug_eligibility.tsv	Drug eligibility audit	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure8B_drug_eligibility.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_09/SupplementaryFigure8B_drug_eligibility.tsv	156758	e6dfa6809e93bc1cae6ec7b7bbaadd34
9	SupplementaryFigure8C_lung_classifier_validation.tsv	Classifier validation	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure8C_lung_classifier_validation.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_09/SupplementaryFigure8C_lung_classifier_validation.tsv	362	085f7e2698a3d1c74b43c6f1af9106e1
9	SupplementaryFigure8E_PDMR_classifier_scores.tsv	PDX classifier scores	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure8E_PDMR_classifier_scores.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_09/SupplementaryFigure8E_PDMR_classifier_scores.tsv	2740	1e98b0ec27a52293b519dd28ada0343d
9	SupplementaryFigure8F_DepMap_classifier_scores.tsv	Cell-line classifier scores	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure5/results/tables/SupplementaryFigure8F_DepMap_classifier_scores.tsv	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-publication-rebuild/results/supplementary_data/Data_09/SupplementaryFigure8F_DepMap_classifier_scores.tsv	4939	eea0c5899aa85e52423930251bc8b25b
