issue_id	route_id	source_scope	issue_type	stage	severity	observation	evidence	consequence	proposed_action	current_resolution	workflow_action	status	blocking	notes
HCC-I11		pilot_execution	usability	route_generation	high	The capability-gap report mixed HCC-to-CRC execution gaps, paper-type evidence gaps and actual Paper2Paper product gaps, while issues from different conversations had no repository-level aggregation.	User review of the 12-item report and comparison with the existing per-Pilot issues.tsv design.	A project-specific obstacle could trigger unnecessary core expansion, while reusable failures and prior repairs could be forgotten across conversations.	Define explicit gap classes, retain raw facts in each Pilot, aggregate candidates across Pilots, and link accepted product findings to source issues and verification.	The report was reclassified and a lightweight cross-Pilot learning ledger, report and CLI were added.	implemented	resolved	false	This repair supports the secondary loop and must not delay the HCC-to-target-cancer main analysis.
HCC-I12		both	usability	anchor_audit	high	The anchor map and CRC replacement report assigned one feasibility judgment to each whole Figure even when its subpanels required different data and supported different claims.	NPJ HCC Figure 8 contains separately feasible DepMap and survival panels, a reconstruction-only Geneformer panel and five treatment-spatial panels for which no qualifying CRC cohort was found.	A whole-Figure label can hide missing decisive data, overstate cancer-switch feasibility and leave the beginner without a panel-level code construction plan.	For every multi-panel anchor, audit each subfigure's evidence role, target data, replacement level, code source, required repair and verification gate; keep whole-Figure rows only as an index.	All 92 main panels and 63 supplementary panels were mapped in separate TSV files; separate data and code reports were added; the general rule was added to docs/workflow.md.	implemented	resolved	false	The repair verifies panel-level treatment in this Pilot; it does not claim that any CRC panel has already run.
HCC-I13	HCC-CS-R02	both	code	verification	high	Foundation methods were fragmented across the HCC paper, the CRC data paper and repository, official tools and related high-quality code; several author implementations contain silent failure, arbitrary selection or invalid clustering details.	Direct audit of the two papers, CRC Table S1 and commit 82c15ecc found usable QC/scANVI/marker/cNMF assets but incomplete HCC code, permissive SOLO failure handling, ad hoc K scoring and Ward clustering on a square cosine matrix.	Selecting one source wholesale could propagate wrong labels, batch artifacts, malignant calls or patient-specific programs through every later Figure.	For each foundation step triangulate paper role, author/data code and official/related implementation; freeze target input, statistical unit, failure conditions, stability tests and source tables before real execution.	The reconstructed P0.0-P0.6 chain has now read the 31 GB object and run real CopyKAT, SCEVAN and cNMF diagnostics; the execution exposed and repaired API, matrix, path and orientation defects while preserving scientific limitations.	implemented	resolved	false	The reusable reconstruction method is verified; the CRC scientific P0-GATE remains open and is tracked by the real-run report rather than this product finding.
HCC-I14	HCC-CS-R02	pilot_execution	data_access	verification	high	The released CRC H5AD can audit retained-cell QC fields but cannot reconstruct cells already removed by the original QC, ambient-RNA or doublet workflow.	The real object contains retained-cell metrics, while 228 samples lack inspectable doublet-probability evidence and no pre-filter object or empty-droplet input was supplied in this execution.	A postprocessed-object audit could be misreported as exact reproduction of the original sample-level QC pipeline.	Name the result released-object audit; keep absent steps not_run; request or locate raw/pre-QC inputs only if the target Figure requires exact filtering reconstruction.	P0.2 now reports retained-cell thresholds and missing probability evidence as passed_with_limitations, without inventing removed cells or ambient-RNA results.	none	open	true	Blocks exact QC reproduction, not all downstream diagnostic use of the released object.
HCC-I15	HCC-CS-R02	pilot_execution	statistical	verification	high	The released X_scANVI embedding has no same-cell pre-integration comparator in the current input.	Real diagnostics quantify batch mixing and label retention on 37,481 cells, but no retraining or before/after metric pair was available.	Good-looking mixing metrics could be mistaken for evidence that integration improved the data without erasing biology.	Keep P0.3 diagnostic_only until a frozen count input, training split, seeds and same-cell comparator are run; do not set an improvement gate from the released embedding alone.	The current report records the six observed metrics and explicitly withholds integration acceptance.	none	open	true	This is a scientific evidence gap in the CRC Pilot, not a reason to reject the published embedding for visualization.
HCC-I16	HCC-CS-R02	pilot_execution	scientific_result	verification	medium	An author label can exist in the atlas while lacking cross-patient marker support.	Fibroblastic reticular cell had 10 sampled cells from one patient and one dataset, with CCL19 and CCL21 both zero; by contrast the Cancer-cell epithelial markers were broadly supported.	Blindly accepting all author labels would propagate a rare unsupported state into later ecology Figures.	Audit positive and negative markers by patient and dataset, retain author labels separately, and leave unsupported labels unresolved rather than renaming them to fit the story.	P0.4 now preserves the FRC counterexample and does not equate author Cancer labels with malignancy truth.	none	open	false	The specific rare label may be recoverable with a larger targeted audit; it is not used as a reason to discard the atlas.
HCC-I17	HCC-CS-R02	pilot_execution	code	verification	high	An official method can install successfully while its documented call, accepted sparse class and internal output path do not match the real runtime.	SCEVAN 1.0.3 required the singular norm_cell argument, dgCMatrix conversion and a guarded temporary ./output alias; four failed real runs exposed the differences.	A beginner following only the README could repeatedly fail or silently change methods, while a superficial installation check would call the code reliable.	Probe actual function formals, matrix class and output files with a small real sample; make only adapter-level repairs; pin the source and retain every failure log.	The adapter passed the same 600-cell real sample, regression tests assert the actual API and class, and all failure logs remain archived.	implemented	resolved	false	This reusable runtime-contract lesson is covered by P2P-L019 rather than creating a new platform layer.
HCC-I18	HCC-CS-R02	pilot_execution	code	verification	critical	The first cNMF stability evaluator transposed an already K-by-gene spectra table and treated 28,088 genes as programs.	The Hungarian match ran for 36 minutes with about 12.5 GB memory before the exact process was inspected and terminated; cNMF 1.7.1 writes K program rows by gene columns.	The computation could exhaust resources and return biologically meaningless program matching despite valid input files.	Validate spectra shape against K, gene/program identifier uniqueness and numeric finiteness before matching; retain a regression test for orientation.	The evaluator was repaired, the correct run completed in about 43.5 seconds with about 192 MB peak memory, and the failure log is preserved.	implemented	resolved	false	This is a real-data-discovered code defect and a direct example of why output-shape contracts are required.
HCC-I19	HCC-CS-R02	pilot_execution	usability	verification	medium	The first CNA panel selector rewrote its tables and then redundantly rehashed the 31 GB H5AD, exceeding the remote command lifetime before writing a final receipt.	The H5AD had already passed P0.0 with path, byte size and SHA256; the selector repeated the full checksum instead of consuming that verified receipt.	Large upstream inputs would be repeatedly scanned, wasting time and making an otherwise completed step appear incomplete.	Bind downstream steps to a passed upstream receipt, recheck resolved path and current byte size, and inherit the frozen SHA256; fail if the file identity changes.	The selector now verifies the P0.0 receipt, rejects byte-size change in a regression test and completed in about 72 seconds without rehashing 31 GB.	implemented	resolved	false	Checksum inheritance is transparent in the receipt; it does not weaken the original file-content verification.
HCC-I20	HCC-CS-R02	pilot_execution	statistical	verification	high	The first real cNMF diagnostic contains programs with very weak cross-dataset mixing despite cross-seed stability.	Across two seeds and K=5-7, the minimum effective dataset number was about 1.57-1.86 and some programs had only one dataset contributing at least 5%, while matched programs still exceeded permutation thresholds.	Cross-seed stability alone could freeze a reproducible dataset artifact as a malignant meta-program.	Require dataset/patient contribution diagnostics plus patient and dataset holdout before program naming; treat same-input seed matching as necessary but insufficient.	All seven current program families remain provisional and K is not frozen; CNA-supported input and holdout analyses are the next scientific tests.	none	open	true	This is a substantive CRC result risk that the target analysis must resolve before any program enters the paper story.
HCC-I21	HCC-CS-R02	pilot_execution	scientific_result	verification	critical	Predefined normal-reference cells received unexpected malignancy support in the first real 12-sample CopyKAT/SCEVAN panel.	The first panel had 162/3,454 unexpected reference calls and a 32% maximum sample rate. The predeclared paired redesign then completed 43/43 samples: 53/12,858 references had unexpected support; 41 samples were at most 5%, two Ji samples were 5%–10%, and none exceeded 10%.	The first convenience panel could not calibrate the main comparison. The paired result now supports a conservative cNMF checkpoint but still cannot be treated as DNA truth, especially for Ji.	Use the frozen paired design and sample-level thresholds; do not invent a post hoc cutoff or add a third CNA caller. Keep Ji supporting-only and carry all reference warnings into the human review and later holdouts.	The paired screen and full identification both completed 43/43 with zero failures. No sample triggered the one allowed T/B/NK sensitivity. All samples had at least 30 dual-supported cells; Liu is assigned discovery and Che replication. Formal cNMF has not started.	none	open	false	The issue no longer blocks cautious Liu/Che cNMF entry, but it still constrains claim wording and prevents Ji from carrying a main conclusion.
HCC-I22	HCC-CS-R02	pilot_execution	code	verification	critical	The first multi-run cNMF evaluator formed program families by transitive union across cross-seed, adjacent-K and cross-input matches.	The real four-run graph collapsed 180 program nodes into three large replicated components; one component contained 89 nodes and multiple distinct programs from the same run and K, violating the intended one-program-per-solution interpretation.	A technically valid set of pairwise matches would be misreported as a small number of biological meta-program families, allowing an invalid family count to enter the paper story.	Until K is frozen, report only direct one-to-one A/B matches separately within each K; do not construct cross-K families. Preserve the invalid v1 output as failure evidence and add a regression case that keeps K-specific pairs separate.	The evaluator now writes holdout replication pairs and per-K summaries, sets program-family freezing to not assessed, and passes the Phase 0 test suite. The clean v2 evaluation completed from unchanged spectra: 30/45 direct A/B pairs passed, with no family count emitted.	implemented	resolved	false	This repair changes evidence aggregation, not cNMF factorization. Cross-K family construction would require a separate conflict-constrained contract after K selection.
HCC-I23	HCC-CS-R02	pilot_execution	code	verification	medium	The first compact evidence manifest included its own output file while that file was still being written.	Local verification matched 57 result files but necessarily failed the self-referential manifest line, producing one false integrity failure.	A reviewer could mistake a packaging error for corrupted scientific evidence, or ignore future real mismatches after learning to dismiss the warning.	Exclude the checksum manifest itself from its file list; verify every listed file after download; keep the archive checksum separately outside the archive.	The self-entry was removed, all 57 listed files verify locally and on the server, and a new v2 archive has an external SHA256 while the v1 packaging attempt remains recorded.	implemented	resolved	false	This is a local evidence-packaging repair, not a new schema or a change to any analysis result.
HCC-I24	HCC-CS-R02	pilot_execution	code	verification	high	The paired CNA combiner treated repeated cell rows from one sample as overlapping panel orders across shards.	Both summary shards had disjoint sample orders, but the cell-evidence table legitimately repeated each panel order for many cells; the first combine attempt failed before creating review tables.	A completed 43-sample run would appear unreviewable even though the scientific outputs were intact.	Check overlap using the set of panel orders per shard; require row-level uniqueness only for unit summaries, not cell evidence; add a regression test for within-shard repetition and cross-shard overlap.	The repaired combiner passed the focused test and generated screen and full review tables from the unchanged sample outputs.	none	resolved	false	This was a local aggregation bug discovered by the real run; it did not alter any CopyKAT or SCEVAN call.
HCC-I25	HCC-CS-R02	pilot_execution	code	verification	high	The first full-CNA supervisor launch did not pass the formal phase-zero code directory to the configurable Python runner.	Both workers exited immediately with ModuleNotFoundError for prepare_crc_cna_inputs; no sample input or CNA computation had begun.	A target environment could have installed dependencies yet still fail because the execution wrapper resolved imports differently from the tested shell.	Bind PYTHONPATH explicitly in the supervisor, preserve the failed launch logs, add a wrapper regression assertion and rerun the same frozen shards.	The failed empty output was archived, six focused tests passed, and the same four shards subsequently completed 43/43 with zero failures.	implemented	resolved	false	This second real environment-path instance verifies P2P-L014; the repair is finite and does not add a new platform layer.
HCC-I26	HCC-CS-R02	pilot_execution	usability	verification	medium	The full-review pair table still uses the field name pair_screen_status and the value ready_for_full_identification.	The combiner reused one pair-summary schema for screen and full stages; calculations and row identities are correct, but the label is stale after full identification.	A beginner may read the machine field as manuscript approval or believe full identification has not actually finished.	Treat the field as a legacy execution label in the human report; rename it to a stage-neutral pair_analysis_status before the next run without rewriting completed scientific results.	The human report uses explicit cohort roles and the 43/43 receipts rather than the stale field to decide the cNMF checkpoint.	none	open	false	This is a wording/schema defect, not a reason to rerun CNA or delay the human checkpoint.
HCC-I27	HCC-CS-R02	pilot_execution	scientific_result	verification	high	Low unexpected-support rates can coexist with poor normal-reference call coverage.	No full-run sample exceeded 10% unexpected support, but 4,029/12,858 normal references were method-unresolved; six samples exceeded 50%, with a maximum of 80%.	Reviewing only false-positive support can overstate calibration and hide samples where one or both callers make few usable reference calls.	Do not change the completed CNA threshold after seeing results. Disclose both metrics; retain the frozen main input and predefine one cNMF sensitivity excluding high-reference-unresolved samples. Keep Ji supporting-only.	The warning is included in the human report and learning ledger. No additional CNA tool or unplanned reference rerun was started.	consider	open	false	This does not negate the 38,136 dual-supported cells; it limits confidence and must be tested at the program-stability stage.
HCC-I28	HCC-CS-R02	pilot_execution	code	verification	medium	cNMF 1.7.1 writes 0.5 into the K-selection local_density_threshold column even though that statistics path explicitly disables density filtering, while the final consensus in this run used 0.1.	The five completed K-selection tables all recorded 0.5; inspection of the pinned cNMF 1.7.1 source showed k_selection_plot calls consensus with skip_density_and_return_after_stats=True, which forces no filtering but returns the function default metadata. Final consensus artifacts and receipts use dt_0_1 and density_threshold=0.1.	A beginner or reviewer could report two conflicting consensus thresholds or believe the frozen execution contract was violated, even though the factorization and final consensus are unchanged.	Relabel future exported K statistics as the cNMF-reported no-filter default, explicitly record that K-selection filtering is disabled, and separately record the final consensus density threshold. Add a focused regression test; do not rerun the 8,000 factorizations.	The target adapter and focused test now distinguish the two meanings. The completed raw table is preserved as source evidence and the human report explains the boundary.	implemented	resolved	false	This is an output-semantics repair discovered during real review; it does not change any K metric, spectra, matching result or provisional K judgment.
HCC-I29	HCC-CS-R02	pilot_execution	data_identity	verification	medium	The first Che external-projection launch was given an incorrect expected SHA256 for the 31 GB CRC H5AD.	The runner compared the supplied value with the file before reading Che expression and stopped with CRC atlas H5AD SHA256 mismatch; P0.0, CNA and formal cNMF receipts all identified the unchanged file as SHA256 718774363933B57C6A4661E8AAF0EE7D86B717B047442AFE6457C01986789AC6.	Without the fail-closed identity check, an analyst typo or substituted file could silently enter external validation; with the check, the run produced no partial scientific result.	Resolve the expected checksum only from the passed upstream identity receipt, retain the failed log, and restart the identical frozen analysis without changing data, method, seed or eligibility.	The same task completed with the receipt-backed checksum; all inputs are bound in the final run receipt and the failed pre-read attempt remains archived.	none	resolved	false	The guard worked as intended. This is a Pilot execution error and evidence for receipt reuse, not a new product layer.
HCC-I30	HCC-CS-R02	pilot_execution	code	verification	high	The first final-status reducer relabelled any eligible program with an inconsistent sensitivity as sensitivity_unstable, even when the primary Che analysis had already failed replication.	P7 and P8 were not_replicated_or_opposite in the primary analysis, but the initial receipt called both sensitivity_unstable; raw cell scores, patient differences and statistics were correct.	The label would soften a primary external non-replication into a sensitivity-only limitation and could materially overstate the target-paper evidence.	Apply sensitivity_unstable only when the primary analysis first supports the frozen direction and a predeclared sensitivity reverses it; otherwise preserve primary non-replication. Add negative tests for both branches and independently recompute all summary statistics.	The reducer was fixed; 8/8 focused tests passed. P1 remains sensitivity_unstable, P7/P8 are not_replicated_or_opposite, and an independent verifier matched 30 program-level statistics and 150 patient differences without importing the analysis script.	none	resolved	false	This is a local scientific-status aggregation defect. It was repaired before interpretation; no raw score or test statistic was altered.
