analysis	system	TF	n_positive	denominator	half_sample_cutoff	supported	denominator_type
anchor_equivalent_candidate	cell_line	FOXA2	0	19	10	FALSE	fixed
anchor_equivalent_candidate	cell_line	GATA6	0	19	10	FALSE	fixed
anchor_equivalent_candidate	cell_line	HNF4A	0	19	10	FALSE	fixed
anchor_equivalent_candidate	cell_line	NKX2-1	0	19	10	FALSE	fixed
combined_candidate_database	patient	CEBPA	0	22	11	FALSE	fixed
combined_candidate_database	patient	CEBPB	9	22	11	FALSE	fixed
combined_candidate_database	patient	ELF3	22	22	11	TRUE	fixed
combined_candidate_database	patient	FOXA1	1	22	11	FALSE	fixed
combined_candidate_database	patient	FOXA2	1	22	11	FALSE	fixed
combined_candidate_database	patient	GATA6	0	22	11	FALSE	fixed
combined_candidate_database	patient	HNF4A	0	22	11	FALSE	fixed
combined_candidate_database	patient	NKX2-1	0	22	11	FALSE	fixed
combined_candidate_database	PDX	CEBPA	1	13	7	FALSE	fixed
combined_candidate_database	PDX	CEBPB	7	13	7	TRUE	fixed
combined_candidate_database	PDX	ELF3	10	13	7	TRUE	fixed
combined_candidate_database	PDX	FOXA1	0	13	7	FALSE	fixed
combined_candidate_database	PDX	FOXA2	0	13	7	FALSE	fixed
combined_candidate_database	PDX	GATA6	0	13	7	FALSE	fixed
combined_candidate_database	PDX	HNF4A	1	13	7	FALSE	fixed
combined_candidate_database	PDX	NKX2-1	0	13	7	FALSE	fixed
combined_candidate_database	cell_line	CEBPA	0	19	10	FALSE	fixed
combined_candidate_database	cell_line	CEBPB	2	19	10	FALSE	fixed
combined_candidate_database	cell_line	ELF3	19	19	10	TRUE	fixed
combined_candidate_database	cell_line	FOXA1	0	19	10	FALSE	fixed
combined_candidate_database	cell_line	FOXA2	0	19	10	FALSE	fixed
combined_candidate_database	cell_line	GATA6	0	19	10	FALSE	fixed
combined_candidate_database	cell_line	HNF4A	0	19	10	FALSE	fixed
combined_candidate_database	cell_line	NKX2-1	0	19	10	FALSE	fixed
harmonized_full_database	patient	CEBPA	0	22	11	FALSE	fixed
harmonized_full_database	patient	CEBPB	9	22	11	FALSE	fixed
harmonized_full_database	patient	ELF3	22	22	11	TRUE	fixed
harmonized_full_database	patient	FOXA1	1	22	11	FALSE	fixed
harmonized_full_database	patient	FOXA2	1	22	11	FALSE	fixed
harmonized_full_database	patient	GATA6	0	22	11	FALSE	fixed
harmonized_full_database	patient	HNF4A	0	22	11	FALSE	fixed
harmonized_full_database	patient	NKX2-1	0	22	11	FALSE	fixed
harmonized_full_database	PDX	CEBPA	0	13	7	FALSE	fixed
harmonized_full_database	PDX	CEBPB	7	13	7	TRUE	fixed
harmonized_full_database	PDX	ELF3	10	13	7	TRUE	fixed
harmonized_full_database	PDX	FOXA1	0	13	7	FALSE	fixed
harmonized_full_database	PDX	FOXA2	0	13	7	FALSE	fixed
harmonized_full_database	PDX	GATA6	0	13	7	FALSE	fixed
harmonized_full_database	PDX	HNF4A	1	13	7	FALSE	fixed
harmonized_full_database	PDX	NKX2-1	0	13	7	FALSE	fixed
harmonized_full_database	cell_line	CEBPA	0	19	10	FALSE	fixed
harmonized_full_database	cell_line	CEBPB	2	19	10	FALSE	fixed
harmonized_full_database	cell_line	ELF3	19	19	10	TRUE	fixed
harmonized_full_database	cell_line	FOXA1	0	19	10	FALSE	fixed
harmonized_full_database	cell_line	FOXA2	0	19	10	FALSE	fixed
harmonized_full_database	cell_line	GATA6	0	19	10	FALSE	fixed
harmonized_full_database	cell_line	HNF4A	0	19	10	FALSE	fixed
harmonized_full_database	cell_line	NKX2-1	0	19	10	FALSE	fixed
anchor_equivalent_candidate	patient	CEBPA	0	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	CEBPB	9	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	ELF3	0	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	FOXA1	0	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	FOXA2	0	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	GATA6	0	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	HNF4A	0	22	11	FALSE	matchable
anchor_equivalent_candidate	patient	NKX2-1	0	22	11	FALSE	matchable
anchor_equivalent_candidate	PDX	CEBPA	1	10	5	FALSE	matchable
anchor_equivalent_candidate	PDX	CEBPB	7	10	5	TRUE	matchable
anchor_equivalent_candidate	PDX	ELF3	0	10	5	FALSE	matchable
anchor_equivalent_candidate	PDX	FOXA1	0	10	5	FALSE	matchable
anchor_equivalent_candidate	PDX	FOXA2	0	10	5	FALSE	matchable
anchor_equivalent_candidate	PDX	GATA6	0	10	5	FALSE	matchable
anchor_equivalent_candidate	PDX	HNF4A	1	10	5	FALSE	matchable
anchor_equivalent_candidate	PDX	NKX2-1	0	10	5	FALSE	matchable
anchor_equivalent_candidate	cell_line	CEBPA	0	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	CEBPB	2	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	ELF3	0	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	FOXA1	0	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	FOXA2	0	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	GATA6	0	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	HNF4A	0	19	10	FALSE	matchable
anchor_equivalent_candidate	cell_line	NKX2-1	0	19	10	FALSE	matchable
combined_candidate_database	patient	CEBPA	0	22	11	FALSE	matchable
combined_candidate_database	patient	CEBPB	9	22	11	FALSE	matchable
combined_candidate_database	patient	ELF3	22	22	11	TRUE	matchable
combined_candidate_database	patient	FOXA1	1	22	11	FALSE	matchable
combined_candidate_database	patient	FOXA2	1	22	11	FALSE	matchable
combined_candidate_database	patient	GATA6	0	22	11	FALSE	matchable
combined_candidate_database	patient	HNF4A	0	22	11	FALSE	matchable
combined_candidate_database	patient	NKX2-1	0	22	11	FALSE	matchable
combined_candidate_database	PDX	CEBPA	1	10	5	FALSE	matchable
combined_candidate_database	PDX	CEBPB	7	10	5	TRUE	matchable
combined_candidate_database	PDX	ELF3	10	10	5	TRUE	matchable
combined_candidate_database	PDX	FOXA1	0	10	5	FALSE	matchable
combined_candidate_database	PDX	FOXA2	0	10	5	FALSE	matchable
combined_candidate_database	PDX	GATA6	0	10	5	FALSE	matchable
combined_candidate_database	PDX	HNF4A	1	10	5	FALSE	matchable
combined_candidate_database	PDX	NKX2-1	0	10	5	FALSE	matchable
combined_candidate_database	cell_line	CEBPA	0	19	10	FALSE	matchable
combined_candidate_database	cell_line	CEBPB	2	19	10	FALSE	matchable
combined_candidate_database	cell_line	ELF3	19	19	10	TRUE	matchable
combined_candidate_database	cell_line	FOXA1	0	19	10	FALSE	matchable
combined_candidate_database	cell_line	FOXA2	0	19	10	FALSE	matchable
combined_candidate_database	cell_line	GATA6	0	19	10	FALSE	matchable
combined_candidate_database	cell_line	HNF4A	0	19	10	FALSE	matchable
combined_candidate_database	cell_line	NKX2-1	0	19	10	FALSE	matchable
harmonized_full_database	patient	CEBPA	0	22	11	FALSE	matchable
harmonized_full_database	patient	CEBPB	9	22	11	FALSE	matchable
harmonized_full_database	patient	ELF3	22	22	11	TRUE	matchable
harmonized_full_database	patient	FOXA1	1	22	11	FALSE	matchable
harmonized_full_database	patient	FOXA2	1	22	11	FALSE	matchable
harmonized_full_database	patient	GATA6	0	22	11	FALSE	matchable
harmonized_full_database	patient	HNF4A	0	22	11	FALSE	matchable
harmonized_full_database	patient	NKX2-1	0	22	11	FALSE	matchable
harmonized_full_database	PDX	CEBPA	0	10	5	FALSE	matchable
harmonized_full_database	PDX	CEBPB	7	10	5	TRUE	matchable
harmonized_full_database	PDX	ELF3	10	10	5	TRUE	matchable
harmonized_full_database	PDX	FOXA1	0	10	5	FALSE	matchable
harmonized_full_database	PDX	FOXA2	0	10	5	FALSE	matchable
harmonized_full_database	PDX	GATA6	0	10	5	FALSE	matchable
harmonized_full_database	PDX	HNF4A	1	10	5	FALSE	matchable
harmonized_full_database	PDX	NKX2-1	0	10	5	FALSE	matchable
harmonized_full_database	cell_line	CEBPA	0	19	10	FALSE	matchable
harmonized_full_database	cell_line	CEBPB	2	19	10	FALSE	matchable
harmonized_full_database	cell_line	ELF3	19	19	10	TRUE	matchable
harmonized_full_database	cell_line	FOXA1	0	19	10	FALSE	matchable
harmonized_full_database	cell_line	FOXA2	0	19	10	FALSE	matchable
harmonized_full_database	cell_line	GATA6	0	19	10	FALSE	matchable
harmonized_full_database	cell_line	HNF4A	0	19	10	FALSE	matchable
harmonized_full_database	cell_line	NKX2-1	0	19	10	FALSE	matchable
