panel	biological_role_tnbc	biological_role_luad	interpretation_boundary	visual_comparison
Figure3B	Maps target-gene communities connected by shared activating HC-TFs.	Shows the frozen LUAD topology produced by the same official graph constructor.	Sparse topology is a biological/data result and must not be cosmetically densified.	Official network and hull constructor is preserved.
Figure3C	Measures pairwise HC-TF activity correlation in patient tumors.	Measures pairwise LUAD HC-TF activity correlation with the official heatmap and extreme-pair bar output.	Correlation structure addresses coordination, not direct physical interaction.	Both official atomic PDFs are tiled without redrawing.
Figure3D	Builds the HC-TF collaboration network from shared activated targets.	Shows the complete frozen LUAD network at the official overlap rule.	Network density is interpreted relative to node count and overlap rule.	Official graph constructor and all edges are preserved.
Figure3E	Relates regulon size to number of HC-TF partners.	Shows the same relationship for LUAD HC-TFs.	Association does not establish causal hierarchy.	Official scatter constructor is preserved.
Figure3F	Tests skewness of HC-TF activity across patient tumors.	Shows LUAD patient-level activity heterogeneity.	Significant skewness identifies state heterogeneity, not a distinct subtype by itself.	Official point-size and color mappings are preserved.
Figure3G	Displays representative heterogeneous TF activity distributions.	Displays the four deterministic LUAD representatives from the complete network.	Examples support the distributional result but are not an independent screen.	Four official density PDFs are tiled without alteration.
Figure4A	Associates HC-TF activity with OS in the external breast cohort.	Associates LUAD HC-TF activity with OS in GSE41271-LUAD.	Nominally significant multivariable effects require replication and proportional-hazards checks.	Official forest constructor is preserved.
Figure4B	Associates HC-TF activity with RFS in the external breast cohort.	Associates LUAD HC-TF activity with RFS in GSE41271-LUAD.	Endpoint definitions and event counts constrain cross-cancer comparison.	Official forest constructor is preserved.
Figure4C	Associates HC-TF activity with OS in TCGA-BRCA.	Associates LUAD HC-TF activity with OS in TCGA-LUAD.	A supported-zero result is reported as absence, not replaced by another plot.	Official forest constructor or neutral SUPPORTED_ZERO boundary is used.
Figure4D	Associates HC-TF activity with RFS in TCGA-BRCA.	Associates LUAD HC-TF activity with DFS/RFS in TCGA-LUAD.	Endpoint harmonization must be stated explicitly.	Official forest constructor or neutral SUPPORTED_ZERO boundary is used.
Figure4E	Shows overlap of protective and risk TFs across external-cohort endpoints.	Shows the corresponding GSE41271-LUAD endpoint overlaps.	Overlap is descriptive and depends on upstream significance calls.	Official Euler outputs are tiled without alteration.
Figure4F	Shows representative external-cohort Kaplan-Meier curves.	Shows frozen GSE41271-LUAD TF/endpoint examples.	Curves visualize stratification; inference comes from the registered log-rank/Cox receipts.	Official Kaplan-Meier atomic PDFs are tiled.
Figure4G	Shows overlap of protective and risk TFs across TCGA endpoints.	Shows the corresponding TCGA-LUAD endpoint overlaps.	Small intersections should be reported directly rather than visually enlarged.	Official Euler outputs are tiled without alteration.
Figure4H	Shows representative TCGA Kaplan-Meier curves.	Shows frozen TCGA-LUAD TF/endpoint examples.	Examples are illustrative and not a substitute for the full Cox screen.	Official Kaplan-Meier atomic PDFs are tiled.
Figure5A	Screens drug-TF associations in the first cell-line pharmacogenomic resource.	Screens PRISM drug-TF associations in LUAD cell lines.	Multiplicity and cell-line representation determine evidence strength.	Official concordance-index volcano constructor is preserved.
Figure5B	Screens drug-TF associations in the second cell-line resource.	Screens GDSC2 drug-TF associations in LUAD cell lines.	Cross-resource replication is stronger than a single-resource hit.	Official concordance-index volcano constructor is preserved.
Figure5C	Screens drug-TF associations in CTRPv2.	Screens CTRPv2 drug-TF associations in LUAD cell lines.	Resource-specific drug coverage limits direct panel-to-panel count comparison.	Official concordance-index volcano constructor is preserved.
Figure5D	Shows overlap of significant drug-TF pairs across resources.	Shows replicated LUAD drug-TF membership across PRISM, GDSC2 and CTRPv2.	Identity-safe drug harmonization is required before interpreting overlap.	Official ComplexUpset constructor is preserved.
Figure5E	Integrates prognostic classifications across endpoints.	Summarizes LUAD OS and recurrence classification counts.	This is a count summary, not a treatment-validation result.	Official 3-by-3 grid constructor is preserved.
Figure5F	Connects replicated drug-TF pairs to pathway and prognostic context.	Shows supported LUAD low/high concordance strata; supported-zero strata remain explicit.	Prioritize replicated direction-consistent pairs; do not infer efficacy from association alone.	Official dot-matrix outputs are tiled without redrawing.
Figure5G	Tests selected drug-TF associations in PDX response data.	No LUAD pair met the frozen eligibility chain for PDX validation.	UNSUPPORTED means no eligible input, not evidence of no biological effect.	Neutral UNSUPPORTED placeholder is mandatory.
Figure5H	Displays PDX response and TF activity for validated examples.	No validated LUAD PDX pair exists for this constructor.	The panel cannot be claimed or substituted.	Neutral UNSUPPORTED placeholder is mandatory.
SupplementaryFigure1A	Documents TCGA-BRCA inclusion and subtype classification.	No official constructor was published for the LUAD inclusion diagram.	The LUAD cohort receipt belongs in tables/reports until a separately labeled manual figure is approved.	Neutral MANUAL_REQUIRED placeholder.
SupplementaryFigure1B	Documents METABRIC inclusion and subtype classification.	No official constructor was published for the LUAD validation-cohort diagram.	The placeholder is a provenance boundary, not missing analysis.	Neutral MANUAL_REQUIRED placeholder.
SupplementaryFigure2A	Validates differential TF activity in the external breast cohort.	Uses GSE41271 microarray as the primary METABRIC-analogue and validates the LUAD program with the official scatter constructor.	This is the primary external-validation slot; platform and cohort composition still constrain direct count comparisons.	Official scatter grammar is preserved.
SupplementaryFigure2B	Shows TCGA-METABRIC overlap of subtype-specific TFs.	Shows the primary TCGA-LUAD/GSE41271 overlap.	Overlap size must be interpreted against each list size and the microarray-to-RNA-seq platform boundary.	Two official Euler PDFs are tiled.
SupplementaryFigure2A_secondary_GSE81089	Validates differential TF activity in the external breast cohort.	Replays the same official scatter block with GSE81089 RNA-seq as a separately identified secondary validation cohort.	This secondary replay supports sensitivity assessment and does not replace the frozen GSE41271 primary slot.	Official scatter grammar is preserved without mixing cohorts.
SupplementaryFigure2B_secondary_GSE81089	Shows TCGA-METABRIC overlap of subtype-specific TFs.	Shows the secondary TCGA-LUAD/GSE81089 overlap on a dedicated supplemental page.	Compare it with the GSE41271 primary result as a secondary validation, not as a pooled or interchangeable cohort.	Two official Euler PDFs are tiled without alteration.
SupplementaryFigure2C	Shows TF-activity sample correlation in TCGA-BRCA.	Shows the corresponding TCGA-LUAD correlation structure.	Block structure supports within-state similarity.	Official correlation heatmap is preserved.
SupplementaryFigure2D	Shows TF-activity sample correlation in breast PDXs.	Shows the corresponding lung PDX correlation structure.	Heterogeneity may reflect molecular-state mixture.	Official correlation heatmap is preserved.
SupplementaryFigure2E	Shows TF-activity sample correlation in breast cell lines.	Shows the corresponding lung cell-line correlation structure.	Concordant blocks support model-state transfer.	Official correlation heatmap is preserved.
SupplementaryFigure2F	Shows TNBC-specific TF activity distributions across systems.	Shows the LUAD distributions emitted by the official block after the audited one-line PDX data-object correction.	The final panel uses ANCHOR_BUGFIX; the uncorrected CAPSULE_BUG_RETAINED replay is audit-only and is excluded from publication assembly.	The four official atomic distributions are unchanged and the correction boundary is printed beside them.
SupplementaryFigure3A	Reports ATAC peak counts in patient tumors.	Reports LUAD patient-tumor peak counts from the official constructor.	Peak count is QC context, not an automatic exclusion rule.	Official atom is preserved.
SupplementaryFigure3B	Reports ATAC peak counts in PDXs.	Reports LUAD PDX peak counts.	Cross-system depth differences must be kept visible.	Official atom is preserved.
SupplementaryFigure3C	Reports ATAC peak counts/IDR in cell lines.	Reports LUAD cell-line peak counts with IDR only where applicable.	No pseudo-IDR should be invented for samples without true replicates.	Official atom is preserved.
SupplementaryFigure3D	Shows patient-tumor peak saturation.	Shows LUAD patient-tumor peak saturation.	Saturation describes discovery yield under the observed cohort.	Official atom is preserved.
SupplementaryFigure3E	Shows PDX peak saturation.	Shows LUAD PDX peak saturation.	Model fit uncertainty should accompany point estimates.	Official atom is preserved.
SupplementaryFigure3F	Shows cell-line peak saturation.	Shows LUAD cell-line peak saturation.	A high estimate does not prove biological completeness.	Official atom is preserved.
SupplementaryFigure3G	Shows patient accessibility correlations.	Shows LUAD patient accessibility correlations.	Lower similarity can reflect real tumor heterogeneity.	Official heatmap atom is preserved.
SupplementaryFigure3H	Shows PDX accessibility correlations.	Shows LUAD PDX accessibility correlations.	Similarity should be read with sample/state composition.	Official heatmap atom is preserved.
SupplementaryFigure3I	Shows cell-line accessibility correlations.	Shows LUAD cell-line accessibility correlations.	Technical protocol and lineage state both affect similarity.	Official heatmap atom is preserved.
SupplementaryFigure3J	Shows patient peak genomic annotations.	Shows LUAD patient peak annotations against the common 500-bp background.	Background construction is part of the estimand.	Official atom is preserved.
SupplementaryFigure3K	Shows PDX peak genomic annotations.	Shows LUAD PDX peak annotations against the same background.	Using one background enables system comparison.	Official atom is preserved.
SupplementaryFigure3L	Shows cell-line peak genomic annotations.	Shows LUAD cell-line peak annotations against the same background.	Differences may reflect both state and assay properties.	Official atom is preserved.
SupplementaryFigure4A	Documents sequential HC-TF filtering.	No official constructor was published for this flow diagram.	Counts must come from frozen tables if a later manual diagram is approved.	Neutral MANUAL_REQUIRED placeholder.
SupplementaryFigure4B	Shows mean activity categories across systems.	Shows LUAD HC-TF mean activity categories across systems.	This is the activity filter supporting the HC-TF definition.	Official ComplexUpset constructor is preserved.
SupplementaryFigure4C	Compares JASPAR and CIS-BP motif-supported HC-TFs.	Shows the LUAD database overlap.	Database agreement is not the same as three-system prevalence.	Official Euler constructor is preserved.
SupplementaryFigure4D	Relates HC-TF activity to MKI67 across model systems.	Shows the LUAD MKI67 association outputs.	Correlation with proliferation is contextual, not proof of TF causality.	Official volcanoes and heatmap are tiled.
SupplementaryFigure5A	Tests HC-TF heterogeneity in PDXs and cell lines.	Shows the corresponding LUAD heterogeneity screen.	System-specific skewness informs model selection.	Official skewness constructor is preserved.
SupplementaryFigure5B	Relates HC-TF activity to stromal, immune and purity estimates.	Shows LUAD ESTIMATE correlations in patient cohorts.	Associations may reflect tumor composition and should temper intrinsic-TF claims.	Official volcano and heatmap atoms are tiled.
SupplementaryFigure6A	Univariable external-cohort OS screen.	GSE41271-LUAD univariable OS screen.	Exploratory screen; multivariable replication is stronger.	Official volcano constructor is preserved.
SupplementaryFigure6B	Univariable external-cohort RFS screen.	GSE41271-LUAD univariable RFS screen.	Endpoint event counts constrain power.	Official volcano constructor is preserved.
SupplementaryFigure6C	Univariable TCGA OS screen.	TCGA-LUAD univariable OS screen.	Compare effect direction and significance, not label density.	Official volcano constructor is preserved.
SupplementaryFigure6D	Univariable TCGA RFS screen.	TCGA-LUAD univariable DFS/RFS screen.	Endpoint harmonization must remain explicit.	Official volcano constructor is preserved.
SupplementaryFigure6E	Multivariable external-cohort OS screen.	GSE41271-LUAD multivariable OS screen.	Covariate adjustment improves but does not ensure transportability.	Official volcano constructor is preserved.
SupplementaryFigure6F	Multivariable external-cohort RFS screen.	GSE41271-LUAD multivariable RFS screen.	Effects require independent validation.	Official volcano constructor is preserved.
SupplementaryFigure6G	Multivariable TCGA OS screen.	TCGA-LUAD multivariable OS screen.	Multiplicity and model stability must be reported.	Official volcano constructor is preserved.
SupplementaryFigure6H	Multivariable TCGA RFS screen.	TCGA-LUAD multivariable DFS/RFS screen.	Supported-zero is a reportable outcome.	Official volcano constructor is preserved.
SupplementaryFigure7A	Shows drug coverage overlap across cell-line resources.	Shows PRISM/GDSC2/CTRPv2 LUAD drug overlap.	Coverage determines the maximum possible replication set.	Official Euler constructor is preserved.
SupplementaryFigure7B	Shows representative replicated drug-TF AAC/NES relationships.	Shows eligible LUAD examples across resources.	Examples are secondary to the global replicated screen.	Official AAC scatter atoms are tiled.
SupplementaryFigure7C	Shows additional pathway/drug-TF associations.	Shows supported LUAD supplementary low/high concordance strata.	Supported-zero strata must remain visible.	Official dot-matrix atoms are tiled.
SupplementaryFigure7D	Shows a validated PDX AAC/NES example.	No validated LUAD PDX pair is available.	The panel is scientifically unsupported and cannot be substituted.	Neutral UNSUPPORTED placeholder.
