anchor_item	panel	biological_role	official_script	key_statistic_or_rule	visual_grammar	luad_target
Figure3	C	Measure TF co-activity	Figure3/03-Pearson_Correlation_TRActivity.R	Pearson r across target tumors	Correlation heatmap plus top/bottom pairs	31-HC-TF TCGA-LUAD heatmap and ranked pair inset
Figure3	D	Show TF collaboration network	Figure3/05-Generate_Regulon_Network.R	Shared activated targets	Weighted TF network	31-HC-TF collaboration network with explicit edge threshold
Figure3	E	Identify hubs	Figure3/05-Generate_Regulon_Network.R	Regulon size versus TF partners; MAD outliers	Scatter	LUAD scatter with labeled robust outliers and marginal medians
Figure3	F	Quantify patient heterogeneity	Figure3/06-Activity_Score_Heterogeneity_Across_Patients.R	Skewness z test; BH FDR	Mean NES versus skewness	TCGA-LUAD scatter with FDR and motif-class encodings
Figure3	G	Show representative distributions	Figure3/06-Activity_Score_Heterogeneity_Across_Patients.R	LUAD-versus-LUSC Wilcoxon; skewness FDR	Kernel densities	Four prespecified LUAD TF distributions with effect size and FDR
SupplementaryFigure5	A	Test heterogeneity in models	Figure3/06-Activity_Score_Heterogeneity_Across_Patients.R	Skewness z test; BH FDR	Faceted mean-versus-skewness plots	PDMR and DepMap LUAD plots
SupplementaryFigure5	B	Test microenvironment confounding	Figure3/08A-Run_ESTIMATE_HC-TR.R; 08C-E	ESTIMATE scores; Pearson r; BH FDR and |r| > 0.4	Six volcanoes plus summary heatmap	TCGA and GSE41271 Stromal/Immune/Purity volcanoes and cross-cohort heatmap
Figure4	A-D	Estimate adjusted prognosis associations	Figure4/01A; 01B; 05-Plot_HazardRatio_ConfidenceInterval.R	Dichotomized activity Cox models with clinical covariates; METABRIC NewSelection compares outer tertiles and TCGA uses maximally selected cutpoints (median fallback)	Significant-only forest plots	Median-dichotomized 31-TF LUAD screens with compact main summaries; nominal and FDR status visually separated
Figure4	E,G	Compare OS and RFS signals	Figure4/06-Determine_Overlap_TCGA_METABRIC_TRs.R	Direction-aware overlap; Fisher/permutation	Venn diagrams	GSE41271 and TCGA overlap diagrams with empirical-null annotation
Figure4	F,H	Show representative survival separation	Figure4/04-Kaplan_Meyer_Curves_UniVariate_METABRIC_TCGA.R	Activity grouping inherited from the script-specific cutpoint analyses; log-rank	KM curves with risk tables	Predeclared representative LUAD TFs with maximally selected display cutpoints disclosed and 10-year risk tables
SupplementaryFigure6	A-H	Show all Cox screens and null calibration	Figure4/02; 03; 01C-PermutationTest.R	Uni-/multivariable Cox; 5,000 permutations	Eight volcanoes and eight null histograms	Same structure for GSE41271 and TCGA LUAD; nominal and FDR thresholds both labeled
Figure5	A-C	Screen drug–TF associations	Figure5/02-Compute_ConcordanceIndex_NewTest.R; 03-Plot_ConcordanceIndex_Volcano.R	Concordance index; BH FDR <= 0.05	Three concordance volcanoes	GDSC2, CTRPv2, PRISM with comparable scales and sample/drug counts
Figure5	D	Require cross-dataset replication	Figure5/04A-Compare_Drugs_Across_CellLine_Datasets.R	Same drug, TF, direction, FDR <= 0.05 in at least two datasets	ComplexUpset	True UpSet of all significant memberships, replicated pairs highlighted
Figure5	E	Connect drug associations to prognosis	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	Prognostic category annotation	Count heatmap	Replicated LUAD pairs annotated with Figure 4 evidence strength, including no-FDR cases
Figure5	F	Organize actionable pathways	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	Pathway/drug/TF concordance across datasets	Faceted bubble matrix	Five replicated pairs plus all qualifying pathway context; dataset encoded by color and CI by size
Figure5	G	Test in-vivo response association	Figure5/07B; 07D	PDX concordance index with BH FDR	Concordance volcano	Complete LUAD PDX coverage/association screen, explicitly showing zero validated pairs
Figure5	H	Show model-level response	Figure5/07D	Tumor-volume change stratified by TF activity	Annotated waterfall	No fabricated waterfall; structured missing-link diagram unless a matched LUAD drug–PDX response set exists
SupplementaryFigure7	A	Audit drug-space overlap	Figure5/01A-Compare_Drugs_Overlapping_Across_CellLine_Datasets.R	Standardized compound identity	Euler/Venn	GDSC2/CTRPv2/PRISM drug overlap with canonical-ID rules
SupplementaryFigure7	B	Show association examples	Figure5/06-AAC_Key_Drug_TR_AcrossCohort.R	Per-cell-line activity versus AAC and CI	Scatter/regression examples	All five replicated LUAD drug–TF pairs across contributing datasets
SupplementaryFigure7	C	Expose expanded pathway results	Figure5/05-Generate_DotPlot_SignificantDrug_TR.R	All cross-dataset significant pathway associations	Large bubble matrix	Complete LUAD pathway/drug/TF matrix with direction and evidence count
SupplementaryFigure7	D	Show representative translational candidate	Figure5/07C-Plot_AAC_PDX.R	Selected cell-line drug–TF association	Scatter	Best-supported replicated LUAD pair, selected by prespecified min-FDR/effect rule
