figure	panel	tnbc_biological_meaning	luad_current_meaning	interpretive_gap	current_visual_deficit	required_improvement	evidence_status
Figure4	A	Shows adjusted OS associations for HC-TFs in the anchor's external patient cohort	Summarizes the 31-TF median-dichotomized GSE41271 OS multivariable Cox screen; the compact main forest shows nominal hits and the complete screen is supplementary	LUAD uses a frozen median split rather than the anchor code's METABRIC outer-tertile selection and has weak external-cohort FDR support	A significant-only forest without a denominator would visually overstate the few nominal signals	Print the 31-TF denominator and cutpoint rule; encode nominal and BH-FDR tiers separately; retain the complete screen in Supplementary Figure 6	Exploratory
Figure4	B	Shows adjusted recurrence associations for HC-TFs in the anchor's external patient cohort	Summarizes the 31-TF median-dichotomized GSE41271 RFS multivariable Cox screen	External recurrence evidence is weak and does not reproduce a broad prognostic program	A full-height forest gives weak effects excessive visual weight	Use the same axis and evidence encoding as panel A and disclose the median split so OS and RFS are directly comparable	Exploratory
Figure4	C	Shows adjusted OS associations for HC-TFs in the anchor's TCGA cohort	Summarizes the 31-TF median-dichotomized TCGA-LUAD OS multivariable Cox screen	Only ZNF75D survives the frozen TCGA OS FDR screen; the LUAD split also differs from the anchor code's maximally selected TCGA cutpoints	Selective labels and inconsistent axes can make nominal signals appear stronger than the single FDR result	Use a shared log-HR axis, label the sole FDR result explicitly, print the median-split adaptation, and retain all null TFs in the supplement	One FDR-supported association
Figure4	D	Shows adjusted recurrence associations for HC-TFs in the anchor's TCGA cohort	Summarizes the 31-TF median-dichotomized TCGA-LUAD DFS multivariable Cox screen	The LUAD disease-free survival screen is exploratory and lacks broad FDR support	Dense labels can obscure that the global screen is largely null	Use the same compact forest grammar, complete denominator and explicit no-broad-FDR annotation	Exploratory
Figure4	E	Shows direction-aware OS/RFS signal overlap in the anchor's external cohort	Shows OS/RFS overlap in GSE41271 LUAD	The overlap is small and empirical enrichment is weak	A tiny Venn omits the null expectation and direction rule	Add expected overlap, observed overlap, direction definition and 5,000-permutation empirical p	Weak
Figure4	F	Shows representative survival separation in the anchor's external cohort	Shows ranking-selected GSE41271 LUAD Kaplan-Meier examples using maximally selected display cutpoints	Selections are nominal and not consistently replicated; the display cutpoint differs from the median split used in the primary Cox screen	Small curves and absent selection rules can imply confirmatory validation	Use larger curves with risk tables, exact cutpoint method, n/events and an exploratory evidence label	Exploratory
Figure4	G	Shows direction-aware OS/recurrence signal overlap in the anchor's TCGA cohort	Shows OS/DFS overlap in TCGA-LUAD	The LUAD overlap does not establish a broad outcome-stable TF program	A stand-alone overlap diagram can conceal the many tested null TFs	Print the 31-TF denominator, expected overlap and empirical p next to direction-aware sets	Weak
Figure4	H	Shows representative survival separation in the anchor's TCGA cohort	Shows ranking-selected TCGA-LUAD Kaplan-Meier examples using maximally selected display cutpoints	Curves illustrate nominal separation and use a different display cutpoint from the primary median-dichotomized Cox screen	Small panels and visually strong curve colors can overstate evidence	Include risk tables, exact log-rank p, cutpoint method and cross-reference to the adjusted forest evidence	Exploratory
Figure5	A	Screens drug–TF associations in the first pharmacogenomic dataset	Screens LUAD GDSC2 drug–TF concordance	LUAD line counts and tested compounds differ from the TNBC screen	Without a common scale and denominator the number of significant points is hard to compare	Use the frozen concordance axis, BH-FDR threshold, labeled line/drug/test counts and transparent p-value capping	Supported screen
Figure5	B	Screens drug–TF associations in the second pharmacogenomic dataset	Screens LUAD CTRPv2 drug–TF concordance	Dataset-specific coverage changes power and the apparent association density	The first-pass volcano used different annotation density from panels A and C	Match axes, point encodings and label rules across all three datasets; print coverage denominators	Supported screen
Figure5	C	Screens drug–TF associations in the third pharmacogenomic dataset	Screens LUAD PRISM drug–TF concordance	PRISM coverage and response metric differ from GDSC2/CTRPv2, so only directionally replicated pairs support transfer	Large -log10 FDR values can dominate the layout and hide the shared decision rule	Apply the same capped scale and evidence legend and cross-reference the replication panel	Supported screen
Figure5	D	Shows cross-dataset replicated drug–TF pairs	Currently uses a bar-like membership summary	Only five pairs repeat	Not a real UpSet and does not show all memberships	Use true UpSet and highlight the five replicated pairs	Supported but small
Figure5	E	Connects drug associations and prognosis	Connects five LUAD pairs to weak Figure4 evidence	Little prognostic corroboration	Heatmap does not distinguish no evidence from missing evidence	Use explicit evidence states and cohort/end-point columns	Weak integration
Figure5	F	Organizes drug–TF pairs by pathway and direction	Shows simplified LUAD integration	Only five pairs and limited pathway breadth	Current plot is too schematic	Use dataset-colored, CI-sized pathway/drug/TF bubble matrix	Supported but narrow
Figure5	G	Validates TF–drug associations in treated PDXs	Shows that no matched LUAD PDX validation passed	The in-vivo evidence link is absent	Current empty text panel looks unfinished	Show complete validation funnel and zero-result with denominators	Not validated
Figure5	H	Shows model-level PDX response stratified by TF activity	No valid LUAD waterfall is available	This exact translational endpoint cannot be reproduced	Blank/placeholder panel is visually weak	Use a structured missing-link diagram, not a fabricated waterfall	Unavailable
SupplementaryFigure	1	Documents patient-cohort inclusion and exclusions	Documents TCGA, GSE81089, and GSE41271 inclusion with corrected sample aliases	LUAD needs three cohort flows rather than two breast cohorts	The first pass used visually rigid flow boxes and did not foreground the corrected GSE81089 aliases	Use compact cohort-specific flows, independent-unit counts, and explicit 108/67 GSE81089 final counts	Supported
SupplementaryFigure	2	Demonstrates independent TF discovery, overlaps, sample coherence, and cross-model distributions	Demonstrates two independent LUAD patient validations plus PDX/cell-line transfer	External LUAD cohorts are much smaller than METABRIC and only 44/158 TFs reproduce in both	Multiple small panels were compressed and the cross-platform role was not visually explicit	Separate discovery/reconstruction from projection; show 95/158, 70/158, and 44/158 without merging platforms	Supported with weaker external scale
SupplementaryFigure	3	Audits ATAC peak counts, saturation, correlations, and genomic distribution	Audits the 22/13/19 LUAD ATAC systems	PDX quality and peak counts are more heterogeneous, and some metrics are diagnostic rather than exclusionary	The first composite was tall and labels were too small; saturation lacked clear asymptotic landmarks	Use system-aligned rows, 1,000-permutation saturation, fitted 50/90/95/99% landmarks, and explicit metric availability	Supported with heterogeneous PDX QC
SupplementaryFigure	4	Documents HC-TF selection, activity categories, motif availability, and proliferation association	Documents the 158-to-31 gate, selective motif availability, and four-system MKI67 correlations	LUAD has fewer HC-TFs and only three strict triple-system motifs	The previous numbering omitted the anchor-equivalent MKI67 panel	Combine A-C with a new four-system MKI67 heatmap; keep motif evidence separate from HC-TF inclusion	Supported; motif conservation selective
SupplementaryFigure	5	Tests TF heterogeneity and tumor-microenvironment confounding	Tests four-system skewness and TCGA/GSE41271 ESTIMATE correlations	LUAD must distinguish malignant regulatory heterogeneity from stromal/immune admixture in two patient cohorts	The previous LUAD supplement used state/background sensitivities instead of the anchor heterogeneity/TME question	Restore skewness and ESTIMATE panels; move LUAD-specific background sensitivities to extended supplements	Supported as confounding analysis
SupplementaryFigure	6	Shows complete survival screens and permutation enrichment	Shows eight LUAD Cox screens and eight 5,000-permutation nulls	Most LUAD prognosis signals are nominal and permutation enrichment is weak	Large main forests gave weak results excessive visual weight	Move all 31-TF screens and null distributions here; distinguish nominal p from BH FDR and print empirical p	Biologically weak/exploratory
SupplementaryFigure	7	Shows drug overlap, examples, full association matrix, and a representative pair	Shows eligible-drug overlap, every replicated-pair scatter, and the full significant LUAD matrix	LUAD has five replicated in-vitro pairs but no matched PDX validation	The first pass omitted true set intersections and full example-level evidence	Use a true UpSet, show every contributing dataset, and retain the complete matrix even if it spans pages	Replicated in vitro; not validated in vivo
