panel_id	anchor_panel_role	crc_replacement_data	replacement_level	data_reason	code_source	code_reuse_level	required_repair	verification_gate
F3C	GeneSwitches沿轨迹开关基因	F3B的CRC状态坐标	模块化模仿	可以寻找坐标相关基因，但“时间开关”主张受伪时序限制	GeneSwitches官方实现	补建	改称“沿推定状态轴变化”；控制检测率、细胞周期和患者效应	开关顺序在供者bootstrap中稳定并通过空模型
F3D	Diff-Metabolic程序的TCGA生存曲线	TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	CRC有公开表达与生存结局，可投影冻结程序	CRC-atlas TCGA脚本作作者donor；TCGAbiolinks/GSVA/survival官方包作底座	补建	先冻结程序和cutoff；主模型用连续得分、多变量Cox，KM仅展示	患者ID/结局合同通过，PH假设和多变量模型通过，独立队列复现
F3E	Prolif-Stress程序的TCGA生存曲线	TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	同F3D	同F3D	补建	同F3D并校正四程序多重检验	同F3D
F3F	MYC-Biosynth-Immune程序的TCGA生存曲线	TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	同F3D	同F3D	补建	同F3D并校正四程序多重检验	同F3D
F3G	EMT-Inflammatory程序的TCGA生存曲线	TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	同F3D	同F3D	补建	同F3D并校正四程序多重检验	同F3D
F3H	治疗响应者与非响应者的程序得分	CRC-atlas Table S1中同一研究/同一方案的治疗子队列；必要时另找独立CRC治疗队列	模块化模仿	反应字段存在，但106人跨多研究、多药物，尚未形成一个可合并的治疗合同	目标项目自写队列筛选/estimand脚本；作者代码无可直接复用模块	补建	先选一个疗法、时间点和反应定义；不跨不相容方案合并	文件级确认一个独立患者数足够、药物和终点一致的子队列后才晋升
F3I	每个恶性状态的选择性药物数量	CRC恶性状态表达与scTherapy/药敏参考	模块化模仿	可以计算候选药物数量，但它只是模型预测且依赖训练域	官方scTherapy实现+目标项目适配器	补建	与DepMap/PRISM/GDSC正交比较；冻结阈值并控制状态间表达量差异	正负对照和已知药物基线通过，候选在替代模型中稳定
F3J	各状态药物选择性模式	同F3I	模块化模仿	可生成热图，但不能写成疗效或治疗靶点证据	同F3I	补建	只作为候选优先级；报告模型覆盖、外推范围和不确定性	至少一个独立药敏或依赖性来源支持，且不与发现数据循环
F4A	主要髓系细胞UMAP	CRC-atlas H5AD髓系子集	完整模仿（待真实运行）	CRC-atlas有成熟髓系注释和作者代码	CRC-atlas作者myeloid分析代码	改造	该结果已由CRC-atlas发表，只能作为目标论文的背景/基础层，不能作为中心新发现	固定提交和对象版本；在目标子集重现主要群及供者覆盖
F4B	主要髓系细胞在组织间分布	CRC-atlas正常/息肉/原发/肝转移样本	完整模仿（待真实运行）	组织标签和供者数可支持同角色比较	CRC-atlas作者代码+目标项目患者级组成模型	改造	避免重复其核心中性粒细胞故事；比较必须服务于新恶性程序关系	患者级效应经队列分层后稳定
F4C	巨噬细胞亚群UMAP	CRC-atlas或GSE225857巨噬细胞	完整模仿（待真实运行）	两类公开数据均含巨噬细胞，可重新解析亚群	CRC-atlas作者myeloid流程+Scanpy/Seurat官方实现	改造	亚群由CRC数据决定，不预设复刻HCC的10个标签	亚群跨供者存在且marker不由单一数据集驱动
F4D	巨噬细胞亚群在组织间比例	CRC原发与肝转移，优先GSE225857配对患者	完整模仿（待真实运行）	有配对和大图谱数据承担同角色	目标项目组成/混合模型	补建	主检验用患者为单位，治疗和取样部位纳入设计	配对和跨队列敏感性分析方向相容
F4E	髓系/巨噬细胞亚群通路热图	F4C冻结亚群	完整模仿（待真实运行）	表达数据和公开基因集可支持	fgsea/decoupler/clusterProfiler官方实现；CRC-atlas富集notebook作细节参考	改造	基因集和背景统一；校正多重检验；不以同一marker循环定义功能	多供者伪bulk差异与细胞级结果方向一致
F4F	各巨噬细胞亚群抗肿瘤基因热图	F4C冻结亚群与预先规定免疫效应基因集	完整模仿（待真实运行）	同一展示与比较角色可建立	目标项目自写基因集得分/伪bulk脚本	补建	基因集必须有外部来源，不能为得到预期排序事后挑选	供者级差异和留一队列结果稳定
F4G	Kupffer细胞标记表达	CRC结肠驻留巨噬细胞及肝转移灶肝驻留巨噬细胞	模块化模仿	HCC的Kupffer身份不能直接替换；CRC需区分结肠驻留与转移灶肝驻留背景	CRC-atlas和GSE225857作者代码作参考；目标项目重做组织来源标记	补建	不能把组织来源效应误写为肿瘤诱导状态	参考正常结肠/邻近肝组织，患者内比较并报告组织marker
F4H	Macro-MARCO代谢/解毒通路	CRC数据驱动的驻留/代谢巨噬细胞状态	模块化模仿	可以借“某亚群功能剖面”的结构，但不保证存在同名MARCO状态或同功能	同F4E	补建	先无结局地发现/验证状态，再命名；不得强行寻找MARCO以填图	状态跨供者稳定且功能富集不由少数marker单独驱动
F4I	Macro-CXCL9功能表达与通路	CRC数据驱动的IFN/炎症巨噬细胞状态	模块化模仿	方法可迁移，具体亚群和结论需由CRC数据产生	同F4E	补建	不预设标签；检查与已发表CRC髓系程序重叠和重复发表风险	跨队列复现且中心问题不同于CRC-atlas已发表髓系图谱
F4J	Macro-FCN1功能表达与通路	CRC数据驱动的单核/炎症状态	模块化模仿	同F4I	同F4E	补建	同F4I	同F4I
F4K	Macro-FOLR2功能表达与通路	CRC数据驱动的驻留/修复状态	模块化模仿	同F4I	同F4E	补建	同F4I	同F4I
F4L	Macro-SPP1功能表达与通路	CRC巨噬细胞中可能的SPP1程序	模块化模仿	CRC可测SPP1，但该对象在CRC和泛癌已高度研究，不能预设为目标论文中心	CRC-atlas/GSE225857数据+官方富集实现	补建	先做最近论文和数据内无偏状态比较；若只是重复SPP1-TAM描述则降为背景	新关系在独立队列/空间层复现且与最近CRC SPP1研究有清楚区别
F4M	Macro-TREM2功能表达与通路	CRC巨噬细胞中可能的TREM2/脂质处理程序	模块化模仿	可检验但不能假定存在HCC同态状态	同F4L	补建	不把TREM2标签当唯一替换对象；由CRC全部巨噬程序共同筛选	跨供者存在并与SPP1等相邻程序做区分和稳定性检验
F4N	Macro-SPP1与Macro-TREM2的GSEA对比	CRC中经验证的两个巨噬程序（若确实存在）	模块化模仿	比较结构可迁移，比较对象必须由CRC数据和问题决定	fgsea/decoupler官方实现	补建	不得为复刻锚点强行选SPP1/TREM2；若对象不存在则删图	两个状态均跨队列稳定、非技术分群且比较未与发现定义循环
F5A	13个内皮亚群UMAP	CRC-atlas或GSE225857内皮细胞	完整模仿（待真实运行）	公开数据含内皮细胞，可承担同角色细分	CRC-atlas作者图谱代码；GSE225857 endothelial脚本作处理参考	改造	亚群数与标签由CRC数据决定，不固定为13群	亚群跨患者存在并有可解释marker
F5B	内皮亚群marker点图	F5A冻结亚群	完整模仿（待真实运行）	同一表达角色可建立	Scanpy/Seurat官方绘图	补建	marker按供者伪bulk或一致性筛选	marker跨患者表达且完整表输出
F5C	内皮亚群组织比例	CRC正常/原发/肝转移内皮细胞	完整模仿（待真实运行）	组织标签和配对队列可用	目标项目患者级组成模型	补建	优先配对比较并控制队列/治疗	患者级效果在大图谱与配对队列相容
F5D	内皮signature单因素Cox森林图	冻结内皮状态签名、TCGA-COAD/READ和GSE39582	完整模仿（待真实运行）	可建立同角色临床投影	CRC-atlas TCGA脚本作参考；survival/GSVA官方包作底座	补建	主结果必须多变量并校正多签名；单因素仅展示	连续得分Cox、PH诊断和独立队列验证通过
F5E	Endo-ESM1高低组KM	CRC数据中经独立发现的候选内皮状态	模块化模仿	可借KM结构，但不能预设CRC一定是ESM1状态，也不能结果导向选cutoff	同F5D	补建	先冻结候选与cutoff；避免最优截点；最好在第二队列验证	开发队列冻结后，独立队列方向一致
F5F	Endo-ESM1组织分布	CRC候选内皮状态在正常/原发/肝转移中的分布	模块化模仿	只有候选状态确立后才有意义	目标项目组成模型	补建	患者为统计单位；不得用F5E结局反向定义状态	状态在不含结局的单细胞数据中先冻结，跨队列复现
F5G	Endo-ESM1功能通路	CRC候选内皮状态	模块化模仿	方法可迁移，具体功能由CRC数据决定	官方富集实现	补建	外部基因集、背景和多重检验冻结	伪bulk差异和独立队列方向一致
F5H	成纤维细胞亚群UMAP	CRC-atlas和GSE225857成纤维细胞	完整模仿（待真实运行）	两来源有成纤维细胞并有同类作者脚本	CRC-atlas作者代码+GSE225857 fibroblast脚本作参考	改造	GSE225857已发表F3/MCAM状态，目标论文不能把同一发现当新结果	跨患者聚类和最近论文重叠审计通过
F5I	成纤维亚群组织比例	CRC原发/肝转移，优先GSE225857配对样本	完整模仿（待真实运行）	可承担同角色比较	目标项目患者级组成模型	补建	区分已发表结果与为新恶性程序关系提供的背景证据	配对统计和跨队列复现通过
F5J	成纤维伪时序	CRC成纤维细胞横断面数据	模块化模仿	可做状态连续性，不足以证明谱系转化	Monocle/Slingshot官方实现	补建	降级措辞并做多根节点/多算法敏感性	轨迹跨患者稳定且不由组织/队列完全决定
F5K	Fib-RACK1分支动态	CRC数据驱动的候选成纤维状态/分支	模块化模仿	可借分支分析结构，不能预设RACK1状态	轨迹官方实现+目标项目脚本	补建	候选状态必须先冻结；避免重复GSE225857已发表F3/MCAM主结论	跨队列复现且与现有CRCLM成纤维论文有明确不同关系
F5L	Fib-RACK1通路	CRC候选成纤维状态	模块化模仿	功能面板可构建但对象未知	官方富集实现	补建	同F5K	伪bulk与独立队列结果一致
F5M	Fib-CD36通路	CRC候选代谢成纤维状态	模块化模仿	CRC是否存在同名CD36状态需检验	官方富集实现	补建	不得因锚点有CD36而强行筛选；全面比较所有稳定状态	状态独立出现并通过留出验证
F5N	Fib-POSTN通路	CRC候选基质成纤维状态	模块化模仿	POSTN可测但不是自动成为中心对象	官方富集实现	补建	同F5M；同时审计常见POSTN CAF重复风险	跨队列/空间复现且中心关系有区别
F6A	各主要细胞群总体互作强度	CRC-atlas原发和肝转移单细胞数据	完整模仿（待真实运行）	细胞注释和表达可支持通信推断	CellChat官方实现；GSE225857脚本只作同癌种细节参考	补建	分患者运行再汇总；互作强度是模型分数，不是独立生物重复	至少多个患者中重复出现，数据库/参数敏感性公开
F6B	原发与PVTT/MLN的差异通信	CRC原发与肝转移，优先GSE225857配对患者	完整模仿（待真实运行）	有配对部位可承担同角色差异	CellChat官方实现+目标项目配对汇总	补建	不把LR对当独立样本；控制治疗与细胞组成	患者级配对效应和置换/自举稳定
F6C	细胞亚群层面的差异通信	冻结的CRC恶性、免疫和基质状态	完整模仿（待真实运行）	若前述状态稳定，可在亚群层做同角色分析	CellChat官方实现	补建	只分析预先规定、供者覆盖足够的亚群；低细胞数禁用	每个发送/接收群达到患者与细胞最低阈值并跨患者复现
F6D	Endo-ESM1与特定成纤维亚群的LR	CRC中经验证的候选内皮—成纤维关系	模块化模仿	具体HCC亚群未必存在，能借的是“候选细胞关系→LR”模块	CellChat官方实现+空间邻近复核	补建	先由前述独立结果指定关系，避免遍历后只展示最好看的一对	单细胞通信、空间邻近和独立样本方向一致；仍使用关联措辞
F6E	Endo-ESM1到SPP1/TREM2/增殖巨噬细胞的LR	CRC中经验证的内皮—髓系关系	模块化模仿	具体发送/接收状态和配体轴未知	CellChat+空间官方工具	补建	不预设ESM1/SPP1/TREM2；报告全部预设候选和多重检验	跨患者及空间数据支持，且不存在选择性展示
F7A	HCC1T的cell2location空间解卷积	GSE225857一个CRC原发空间切片或配对患者切片	完整模仿（待真实运行）	公开处理后空间矩阵、坐标和图像可承担单切片映射	cell2location官方实现；LianLab ST脚本只补数据解析参考	补建	固定单细胞参考和每个切片QC；同类仓库无许可证，不能直接复制	实际解析GSE225857文件并在一个切片非交互生成细胞丰度source table
F7B	HCC2T的cell2location空间解卷积	GSE225857第二个独立CRC原发或肝转移切片	完整模仿（待真实运行）	可用第二位患者/切片承担重复角色	同F7A	补建	不得只挑最好看的切片；所有合格切片都运行	第二位患者独立生成结果，参数冻结且QC合格
F7C	关键恶性与TME状态空间叠加图一	GSE225857全转录组空间数据+冻结CRC程序	完整模仿（待真实运行）	全转录组空间数据能投射新程序；CRC-atlas 380基因Xenium不能替代这一角色	cell2location/模块打分官方实现+目标项目脚本	补建	先做基因覆盖率；单细胞发现患者与空间验证患者重叠要标明	程序覆盖达到预设阈值，空间映射在多个切片复现
F7D	关键恶性与TME状态空间叠加图二	GSE225857另一独立切片；CRC-atlas Xenium/IMC可作细胞邻域补充	完整模仿（待真实运行）	可用独立切片复现；Xenium只验证其面板实际测到的细胞/邻域	同F7C；CRC-atlas NicheCompass/IMC代码可改造作补充	补建	严格分开全转录组程序投射与380基因面板邻域证据	跨切片重复且Xenium使用前通过measurement-space检查
F7E	COMMOT的ANGPTL通路总体通信	CRC空间数据中的预先规定或数据支持的通路	模块化模仿	COMMOT可运行，但ANGPTL不应因锚点出现而自动成为CRC中心通路	COMMOT官方实现	补建	通路选择需来自F6或外部假设并校正多通路筛选	在多个切片及替代距离参数下稳定
F7F	ANGPTL2空间表达/通信	CRC候选配体之一（若经F6/F7E指定）	模块化模仿	基因可测不等于该轴重要	COMMOT+目标项目绘图	补建	不进行事后单基因挑选	在独立切片重复并有发送/接收细胞来源证据
F7G	ANGPTL4空间表达/通信	CRC候选配体之一（若经F6/F7E指定）	模块化模仿	同F7F	同F7F	补建	同F7F	同F7F
F7H	MISTy多视角空间关系模型	GSE225857全部合格切片；CRC-atlas Xenium可作细胞分辨补充	完整模仿（待真实运行）	矩阵、坐标和细胞/程序丰度可支持同一模型角色	MISTy官方实现+目标项目批处理/汇总脚本	补建	按切片建模并做空间空模型，不把spot当独立患者	所有切片运行；空间置换、距离敏感性和跨患者汇总通过
F7I	TGFβ通路空间活动	CRC空间数据中的TGFβ或由数据支持的替代通路	模块化模仿	PROGENy可打分，但具体通路是否关键需CRC数据决定	decoupler/PROGENy官方实现	补建	冻结模型版本和基因覆盖；多通路校正	跨切片复现且不依赖单个高表达基因
F7J	缺氧通路空间活动	CRC空间数据中的缺氧或由数据支持的替代通路	模块化模仿	同F7I	同F7I	补建	同F7I	同F7I
F7K	按TGFβ与缺氧共富集选择ROI	GSE225857预先规定组织区或训练/留出切片	不可原样模仿（需修复）	锚点用同一共富集信号选择并解释ROI，存在循环验证；CRC若照搬会制造漂亮但不可证伪的区域	目标项目自写预注册ROI/留出ROI/空间空模型代码	重建	ROI由病理、盲法或训练切片确定，在独立切片验证；或全切片分析不选ROI	ROI规则在看目标程序前冻结；留出切片与空间置换检验通过
F7L	ROI内恶性状态分布	经F7K修复后的CRC ROI或全切片	模块化模仿	只有ROI选择独立后，此图才可作为验证	目标项目空间汇总脚本	重建	患者/切片为重复单位；报告所有ROI而非代表图	预先规定的所有区域都有source table且跨患者方向一致
F7M	ROI内转录因子空间映射	经验证的CRC恶性regulon	模块化模仿	可投射F3A regulon，但空间测量覆盖和ROI独立性限制结论	pySCENIC regulon+空间打分官方实现	补建	先核对基因覆盖并避免用同一数据定义与验证regulon	留出切片方向一致并通过随机签名基线
F7N	ROI内基质/免疫细胞分布	经F7K修复后的CRC区域	模块化模仿	细胞丰度可映射，但必须服务于预先规定的生态关系	cell2location/NicheCompass官方/作者实现	补建	同F7L；Xenium患者与scRNA发现重叠需披露	跨患者汇总和空间空模型通过
F7O	ROI内TGFβ/TGFB1空间共现	CRC候选通路与配体	模块化模仿	可以画，但同一表达数据的共现不能证明信号传递	decoupler+COMMOT官方实现	补建	通路/配体预先规定、ROI独立、报告距离空模型	多切片重复并对细胞组成调整后仍存在
F7P	ROI内缺氧/HIF1A空间共现	CRC候选通路与调控因子	模块化模仿	同F7O	decoupler+regulon/表达映射	补建	同F7O	同F7O
F8A	Geneformer三条状态转变及共同候选交集	冻结CRC源/目标状态与单细胞计数	模块化模仿	官方模型可运行，但锚点训练/切分/扰动代码缺失，CRC状态也尚未验证；只能重建模块，不能称精确复刻	Geneformer官方模型与代码；目标项目自写tokenizer、split、扰动和汇总wrapper	补建	固定模型revision、token字典、供者隔离、状态定义、种子、置换和简单基线；模型输出仅为候选排序	GPU smoke通过；标签置换不产生同等结果；多split/seed稳定且优于简单差异/网络基线
F8B	DepMap中共同候选的基因效应分布	DepMap CRC细胞系CRISPR gene effect	完整模仿（待真实运行）	DepMap公开版本可用于候选依赖性检查	DepMap官方数据/API+目标项目版本化脚本	补建	固定季度版本和CRC细胞系定义；多候选校正	下载文件校验、细胞系清单冻结、候选结果可重算
F8C	候选基因依赖分数比较	DepMap CRC细胞系	完整模仿（待真实运行）	同F8B	同F8B	补建	区分pan-essential与CRC选择性，加入非CRC及正常表达背景	候选在CRC与泛癌基线比较后仍有选择性或明确标为普遍必需
F8D	候选基因一的TCGA肿瘤-正常表达	TCGA-COAD/READ配对/非配对肿瘤正常表达	完整模仿（待真实运行）	公开bulk表达可承担同角色	TCGAbiolinks/DESeq2官方实现	补建	优先患者配对；正常样本少时报告限制；三基因多重校正	配对分析和GTEx/独立队列敏感性一致
F8E	候选基因二的TCGA肿瘤-正常表达	TCGA-COAD/READ	完整模仿（待真实运行）	同F8D	同F8D	补建	同F8D	同F8D
F8F	候选基因三的TCGA肿瘤-正常表达	TCGA-COAD/READ	完整模仿（待真实运行）	同F8D	同F8D	补建	同F8D	同F8D
F8G	候选表达与DepMap效应相关	DepMap CRC细胞系表达与CRISPR gene effect	完整模仿（待真实运行）	同一细胞系的表达和依赖矩阵可配对	DepMap官方数据+目标项目ID连接/相关脚本	补建	检查细胞系ID唯一性、组织亚型和离群值；相关不等于标志物可靶向	ID连接完整，稳健相关和留一细胞系结果一致
F8H	治疗后空间样本中候选表达聚类	GSE225857接受术前治疗但无可解释的治疗前后/响应空间对照	模块化模仿	可在处理过的CRC空间样本中描述表达，但不能承担治疗响应分层角色	目标项目空间聚类脚本；LianLab代码仅作解析参考	补建	改称“经术前治疗样本中的空间分布”，不推断治疗诱导或抵抗	明确每位患者治疗、取样时点和缺失；跨切片重复
F8I	空间响应者中候选一分布	当前已审计CRC资源无同质治疗且带响应标签的空间队列	当前阻断	缺少同一方案、可解释响应定义并带空间表达的CRC患者	暂无可合格复用代码；先做数据检索与合同核查	阻断	不得用单细胞反应标签或不同患者替代空间响应者	找到并实际解析合格队列，或删除该面板
F8J	空间非响应者中候选一分布	同F8I	当前阻断	同F8I	同F8I	阻断	同F8I	同F8I
F8K	空间响应者中候选二分布	同F8I	当前阻断	同F8I	同F8I	阻断	同F8I	同F8I
F8L	空间非响应者中候选二分布	同F8I	当前阻断	同F8I	同F8I	阻断	同F8I	同F8I
F8M	治疗空间样本候选表达定量比较	同F8I	当前阻断	没有合格响应空间队列，无法形成患者级比较	暂无	阻断	不能把spot当患者，也不能合并不相容治疗	找到至少一个方案/终点一致且患者数可解释的空间队列，或删除该面板
F8N	治疗响应队列中的候选差异表达	CRC-atlas Table S1中待筛选的单一治疗子队列或另一个CRC治疗表达队列	模块化模仿	可获得治疗字段，但尚未锁定一个同质且表达可连接的队列	目标项目队列连接/差异模型；无锚点作者代码	补建	预先定义药物、时间、响应、协变量和患者ID；不把不同研究合并	实际解析一个合格队列并完成患者级最小运行后晋升
F8O	候选基因一的CRC生存曲线	TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	公开结局队列可承担同角色	CRC-atlas TCGA脚本作参考；survival/TCGAbiolinks官方包	补建	候选由前面环节冻结；连续Cox为主，KM为展示；多候选校正	多变量模型、PH诊断和独立队列验证通过
F8P	候选基因二的CRC生存曲线	TCGA-COAD/READ及GSE39582	完整模仿（待真实运行）	同F8O	同F8O	补建	同F8O	同F8O
