panel_id	anchor_panel_role	crc_replacement_data	replacement_level	data_reason	code_source	code_reuse_level	required_repair	verification_gate
S3G	GEP与meta-program混合熵比较	CRC GEP/MP及患者ID	完整模仿（待真实运行）	可检验合并是否改善跨患者共享	目标项目配对/置换统计	重建	比较需考虑程序数和细胞数，不只报一个p值	平衡下采样、效应量和置信区间通过
S4A	MP1功能富集	CRC程序1或相应CRC meta-program	完整模仿（待真实运行）	每个冻结程序可做同角色富集	fgsea/clusterProfiler/decoupler官方实现	补建	CRC程序数和功能由数据决定，不预设肝代谢标签	背景、版本、多重校正和留出队列复现
S4B	MP2功能富集	CRC程序2或相应CRC meta-program	完整模仿（待真实运行）	同S4A	同S4A	补建	同S4A	同S4A
S4C	MP3功能富集	CRC程序3或相应CRC meta-program	完整模仿（待真实运行）	同S4A	同S4A	补建	同S4A	同S4A
S4D	MP4功能富集	CRC程序4或相应CRC meta-program	完整模仿（待真实运行）	同S4A	同S4A	补建	程序数不固定为4；按实际稳定程序增删子图	同S4A
S5A	MP1 Hallmark GSEA	CRC程序1	完整模仿（待真实运行）	同一GSEA角色可完成	fgsea/decoupler+MSigDB	补建	冻结MSigDB版本和基因排序方法	NES/FDR/leading-edge完整输出并外部复现
S5B	MP2 Hallmark GSEA	CRC程序2	完整模仿（待真实运行）	同S5A	同S5A	补建	同S5A	同S5A
S5C	MP3 Hallmark GSEA	CRC程序3	完整模仿（待真实运行）	同S5A	同S5A	补建	同S5A	同S5A
S5D	MP4 Hallmark GSEA	CRC程序4	完整模仿（待真实运行）	同S5A	同S5A	补建	按实际稳定程序数量调整	同S5A
S6A	主要髓系类型marker	CRC-atlas髓系细胞	完整模仿（待真实运行）	作者数据/注释/代码可支撑	CRC-atlas作者myeloid代码	改造	作为注释核查而非新中心结论	marker跨患者且与完整细胞清单一致
S6B	巨噬亚群marker	CRC巨噬亚群	完整模仿（待真实运行）	可支撑数据驱动亚群标注	CRC-atlas作者代码+目标项目伪bulk	改造	不预设HCC亚群名	跨患者marker和留一队列稳定
S6C	Macro-CLEC10A富集	CRC数据驱动的相应巨噬状态	模块化模仿	可借“单亚群GO”结构，具体CLEC10A状态不保证存在	官方富集实现	补建	先无偏冻结CRC状态	状态跨队列出现且不重复已发表中心结论
S6D	Macro-C1QC富集	CRC数据驱动巨噬状态	模块化模仿	同S6C	同S6C	补建	同S6C	同S6C
S6E	Macro-FN1富集	CRC数据驱动巨噬状态	模块化模仿	同S6C	同S6C	补建	同S6C	同S6C
S6F	Macro-AREG富集	CRC数据驱动巨噬状态	模块化模仿	同S6C	同S6C	补建	同S6C	同S6C
S7A	Endo-PTTG1生存KM	CRC数据驱动候选内皮状态	模块化模仿	可借生存投影，不能预设PTTG1状态或结局	CRC-atlas TCGA脚本+survival官方包	补建	连续多变量Cox为主，状态/cutoff先冻结	独立CRC队列复现并校正多签名
S7B	Endo-CXCL2生存KM	CRC数据驱动候选内皮状态	模块化模仿	同S7A	同S7A	补建	同S7A	同S7A
S7C	Endo-FCN2生存KM	CRC数据驱动候选内皮状态	模块化模仿	同S7A	同S7A	补建	同S7A	同S7A
S7D	Endo-PTTG1功能富集	CRC候选内皮状态	模块化模仿	具体状态未知	官方富集实现	补建	先冻结状态再富集	伪bulk和外部队列一致
S7E	Endo-CXCL2功能富集	CRC候选内皮状态	模块化模仿	同S7D	同S7D	补建	同S7D	同S7D
S7F	Endo-FCN2功能富集	CRC候选内皮状态	模块化模仿	同S7D	同S7D	补建	同S7D	同S7D
S8A	成纤维亚群marker	CRC-atlas/GSE225857成纤维细胞	完整模仿（待真实运行）	可完成数据驱动标注	CRC-atlas代码+GSE225857脚本参考	改造	与已发表F3/MCAM结果分开	跨患者marker和重复性审计通过
S8B	Fib-CXCL12 HLA/CD74表达	CRC数据驱动的抗原呈递样成纤维状态	模块化模仿	可检验但不能预设同名状态	目标项目表达/伪bulk脚本	补建	全面比较所有稳定状态，避免单基因挑选	状态跨患者且HLA信号非环境RNA/双细胞驱动
S8C	Fib-CXCL12通路	同S8B候选状态	模块化模仿	只有S8B成立后才有意义	官方富集实现	补建	多重校正和背景冻结	独立队列方向一致
S8D	所有成纤维亚群Hallmark热图	CRC冻结成纤维状态	完整模仿（待真实运行）	可承担全景功能比较	decoupler/GSVA官方实现	补建	所有状态同一基因集/缩放，患者伪bulk复核	跨患者和队列稳定
S9A	原发/进展部位全局通信数量	CRC原发/肝转移单细胞	完整模仿（待真实运行）	同一全局通信角色可完成	CellChat官方实现	补建	逐患者计算再汇总	患者级效应、配对和置换通过
S9B	原发/进展部位全局通信权重	CRC原发/肝转移单细胞	完整模仿（待真实运行）	同S9A	同S9A	补建	同S9A	同S9A
S9C	亚群层通信数量热图	CRC冻结亚群	完整模仿（待真实运行）	可完成	CellChat官方实现	补建	低覆盖亚群不进入；LR对不作独立重复	发送/接收患者覆盖和完整矩阵输出
S9D	亚群层通信权重热图	CRC冻结亚群	完整模仿（待真实运行）	同S9C	同S9C	补建	同S9C	同S9C
S10A	第三个HCC样本各状态空间分布	GSE225857第三个合格CRC/CRLM切片	完整模仿（待真实运行）	公开空间切片足够补充主文重复	cell2location官方实现+LianLab文件解析参考	补建	全部合格切片运行，不挑图	实际解包后切片、坐标、图像和reference通过
S10B	第三个样本状态复合空间图	同S10A	完整模仿（待真实运行）	可完成	同S10A	补建	组合颜色和阈值冻结	source table可重建复合图
S10C	第四个HCC样本各状态空间分布	GSE225857第四个合格CRC/CRLM切片	完整模仿（待真实运行）	可完成	同S10A	补建	同S10A	同S10A
S10D	第四个样本状态复合空间图	同S10C	完整模仿（待真实运行）	可完成	同S10A	补建	同S10B	同S10B
S10E	样本一ANGPTL/配体空间表达	CRC预先指定候选通路及配体	模块化模仿	可借空间配体展示，具体ANGPTL不应预设	COMMOT官方实现	补建	通路来自单细胞通信或外部假设	多切片复现和空间空模型
S10F	样本二ANGPTL/配体空间表达	CRC预先指定候选通路及配体	模块化模仿	同S10E	同S10E	补建	同S10E	同S10E
S10G	样本三ANGPTL/配体空间表达	CRC预先指定候选通路及配体	模块化模仿	同S10E	同S10E	补建	同S10E	同S10E
S10H	COMMOT发送强度通路排名	CRC空间切片的全部可测通路	完整模仿（待真实运行）	可承担无偏通路排名角色	COMMOT官方实现	补建	报告全部通路和多切片汇总，不只展示预期通路	排名在多个患者/距离参数下稳定
S10I	单个样本spot级通路—基质相关	CRC多个空间切片	不可原样模仿（需修复）	单切片spot相关会把空间相关spot当独立重复并存在挑样本风险	目标项目分层空间模型/置换脚本	重建	每切片估计后跨患者汇总，做空间置换和预设通路	至少多个患者方向一致且空间空模型通过
S11A	治疗响应样本一的三个候选空间表达	当前无合格CRC治疗响应空间队列	当前阻断	GSE225857虽经术前治疗但无同一响应合同	暂无；找到数据后用官方空间工具重建	阻断	不得用无响应标签样本替代	取得同一疗法/响应定义/患者空间数据或删除
S11B	治疗响应样本二的三个候选空间表达	同S11A	当前阻断	同S11A	同S11A	阻断	同S11A	同S11A
S11C	治疗非响应样本的三个候选空间表达	同S11A	当前阻断	同S11A	同S11A	阻断	同S11A	同S11A
S11D	候选一在治疗响应者/非响应者差异	CRC-atlas中待锁定的单一治疗子队列或独立CRC治疗bulk队列	模块化模仿	治疗字段存在但队列尚未形成一致合同	目标项目患者ID连接/差异模型	补建	先冻结药物、时点、响应和协变量	实际解析合格队列并患者级运行
S11E	候选二在治疗响应者/非响应者差异	同S11D	模块化模仿	同S11D	同S11D	补建	同S11D	同S11D
S11F	候选三在治疗响应者/非响应者差异	同S11D	模块化模仿	同S11D	同S11D	补建	同S11D	同S11D
